Sample_Name	NC_020645.1	NC_006853.1	NC_006295.1	NC_002008.4	KR866125.1	NC_008066.1	NC_001640.1	KX964606.1	NC_001700.1	NC_005033.1	NC_012920.1	KR816507.1	NC_069637.1	NC_025316.1	NC_018367.1	MN400429.1	NC_004069.1	NC_020637.1	NC_035866.1	NC_013700.1	NC_001913.1	NC_036369.1	NC_026063.1	NC_029403.1	NC_012389.1	NC_011638.1	NC_014861.1	NC_021478.1	NC_026124.1	NC_039104.1	NC_012095.1	NC_026529.1	NC_008434.1
SRR23971479	4	0	0	19	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	27	28	0	0	3	0	13	0	149	0	2	2	0	0
SRR23971480	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	11	0	0	0	0	1	0	0
SRR23971481	4	1	0	9	0	0	0	7	0	0	24	0	0	2	0	0	0	4	0	138	11	0	0	0	0	305	0	44	0	2	2	0	0
SRR23971482	0	0	0	28	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	243	5	2	0	1	0	2	0	23	1	0	18	0	0
SRR23971483	5	5	0	11	0	0	0	459	0	1	27	0	0	69	1	0	1	0	0	186	1	0	0	0	0	0	0	153	1	3	28	0	0
SRR23971484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971485	9	0	0	334	0	0	0	3	0	0	12	0	0	253	1	0	15	0	0	225	26	1	0	21	0	0	0	639	0	5	781	0	2
SRR23971486	2	0	0	12	0	0	0	0	0	0	16	0	0	2	0	0	1	0	0	218	25	2	1	1	0	8	0	53	0	1	3	0	0
SRR23971487	5	0	0	39	0	0	0	0	0	0	4	0	0	0	0	2	2	0	4	3870	4	7	0	0	0	0	0	250	5	2	0	5	4
SRR23971488	31	0	0	0	0	0	0	1	0	0	4	0	0	16	0	0	140	0	0	16	3	0	21	1	0	0	0	205	0	2	290	0	0
SRR23971489	0	0	0	2	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	53	0	0	1	0	0
SRR23971490	0	1	0	5	1	0	0	104	1	1	27	0	0	43	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0
SRR23971491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971492	0	0	0	0	1	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	172	0	0
SRR23971493	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971494	0	18	1	8	6	0	0	2	0	0	67	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	1	0	0	33	0	0
SRR23971495	0	5	0	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SRR23971496	0	42	0	16	3	0	0	1	0	0	111	0	0	0	0	0	0	0	0	1	8	0	5	0	0	0	0	0	0	0	31	0	0
SRR23971497	0	21	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	21	1	0	1	1	0	0	0	6	0	0
SRR23971498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971499	0	0	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SRR23971500	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971501	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SRR23971502	0	22	0	9	301	0	0	0	40	0	769	0	0	0	0	0	0	0	0	0	17	0	203	0	0	4	0	0	0	0	135	0	0
SRR23971503	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
SRR23971504	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
SRR23971505	0	63	2	3	20	0	11	0	3	0	151	0	0	0	0	0	0	0	0	0	2	0	96	0	0	0	0	0	0	0	23	0	0
SRR23971506	0	5	0	1	3	0	0	0	57	0	15	1	0	0	0	0	0	0	0	0	0	0	54	0	0	1	0	0	0	0	9	0	0
SRR23971507	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971508	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	20	0	0
SRR23971509	0	44	1	46	44	0	6	0	2	0	223	1	0	1	0	0	0	0	0	3	11	0	1258	0	0	3	0	0	0	0	132	0	0
SRR23971510	0	23	0	10	230	0	21	0	4	0	78	0	0	0	0	0	0	0	0	1	23	0	1719	0	0	0	0	0	0	0	1204	0	0
SRR23971511	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971512	0	4	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	3	0	0
SRR23971513	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
SRR23971514	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971515	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971517	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
SRR23971518	1	0	0	34	0	0	0	0	34	0	60	157	4	3	0	0	0	0	145	179	48	0	0	0	0	0	0	6	0	0	1	88	5
SRR23971519	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	7	12	4	0	0	0	0	0	0	2	0	0	0	28	0
SRR23971520	17	2	1	256	0	0	0	8	771	0	79	6	0	5	1	0	5	0	60	512	1236	1	3	1	0	5	2	58	0	0	17	54	69
SRR23971521	0	0	0	311	0	0	0	3	82	0	51	4	0	1	0	0	12	0	6	171	88	1	3	0	0	4	0	7	0	0	1	13	5
SRR23971522	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971523	91	1	0	3064	0	0	0	197	18	1	96	0	0	123	6146	0	15	0	1	352	4851	3	4	0	0	0	4	55	0	0	3610	3	11
SRR23971524	1	0	0	3477	0	0	0	0	9	0	12	6	0	2	0	0	337	0	19	1542	153	5	0	0	0	12	0	6	0	0	0	9	4
