#File	../fastq/SRR23971578_1.fastq.gz	../fastq/SRR23971578_2.fastq.gz
#Total	237236566
#Matched	38576476	16.26076%
#Name	Reads	ReadsPct
Ad153_5T_1-index_10	13897522	5.85809%
Ad153Ω_Bottom_2	9389390	3.95782%
Barcode_SE_sequencing_primer	7676771	3.23591%
Ad153_5T_1-index_1	3616819	1.52456%
Ad153_5T_1-index_3	1486408	0.62655%
Ad153_5T_1-index_22	1010359	0.42589%
Barcode_PE_sequencing_primer	820999	0.34607%
Ad153_5T_1-index_4	156299	0.06588%
Ad153_5T_1-index_11	116428	0.04908%
Ad153_Splint_oligo	78038	0.03289%
Read_1_sequencing_primer	88600	0.03735%
Ad153_5T_1-index_25	49617	0.02091%
Ad153_5T_1-index_7	29499	0.01243%
Ad153_5T_1-index_8	24650	0.01039%
Ad153_5T_1-index_6	17117	0.00722%
Ad153_5T_1-index_2	15247	0.00643%
Ad153_5T_1-index_33	11422	0.00481%
Ad153_5T_1-index_12	5944	0.00251%
Ad153_5T_1-index_5	4891	0.00206%
Ad153_5T_1-index_43	4392	0.00185%
Ad153_5T_1-index_91	4581	0.00193%
Ad153_5T_1-index_105	2941	0.00124%
Ad153_5T_1-index_49	2864	0.00121%
Ad153_5T_1-index_27	3304	0.00139%
Ad153_5T_1-index_20	2306	0.00097%
Ad153_5T_1-index_61	2352	0.00099%
Ad153_5T_1-index_114	2120	0.00089%
Ad153_5T_1-index_31	2048	0.00086%
Ad153_5T_1-index_95	1976	0.00083%
Ad153_5T_1-index_39	2896	0.00122%
Ad153_5T_1-index_18	1489	0.00063%
Ad153_5T_1-index_75	1447	0.00061%
Ad153_5T_1-index_45	1207	0.00051%
Ad153_5T_1-index_29	1638	0.00069%
Ad153_5T_1-index_97	1127	0.00048%
Ad153_5T_1-index_47	1079	0.00045%
Ad153_5T_1-index_79	970	0.00041%
TruSeq_Universal_Adapter	1156	0.00049%
Ad153_5T_1-index_80	920	0.00039%
Ad153_5T_1-index_40	970	0.00041%
Ad153_5T_1-index_78	771	0.00032%
Ad153_5T_1-index_21	658	0.00028%
Ad153_5T_1-index_17	706	0.00030%
Ad153_5T_1-index_62	624	0.00026%
Ad153_5T_1-index_44	606	0.00026%
Ad153_5T_1-index_71	585	0.00025%
Ad153_5T_1-index_68	623	0.00026%
Ad153_5T_1-index_115	539	0.00023%
Ad153_5T_1-index_104	525	0.00022%
Ad153_5T_1-index_16	509	0.00021%
Ad153_5T_1-index_36	506	0.00021%
Ad153_5T_1-index_14	505	0.00021%
Ad153_5T_1-index_48	500	0.00021%
Ad153_5T_1-index_19	514	0.00022%
Ad153_5T_1-index_23	470	0.00020%
Ad153_5T_1-index_108	483	0.00020%
Ad153_5T_1-index_112	443	0.00019%
Ad153_5T_1-index_65	441	0.00019%
Ad153_5T_1-index_106	426	0.00018%
Ad153_5T_1-index_59	400	0.00017%
Ad153_5T_1-index_67	384	0.00016%
PCR_Primers	444	0.00019%
Ad153_5T_1-index_15	369	0.00016%
Ad153_5T_1-index_13	369	0.00016%
Ad153_5T_1-index_101	369	0.00016%
Ad153_5T_1-index_60	351	0.00015%
Ad153_5T_1-index_56	351	0.00015%
Ad153_5T_1-index_87	349	0.00015%
Ad153_5T_1-index_55	428	0.00018%
Ad153_5T_1-index_72	340	0.00014%
pcr_dimer	342	0.00014%
Ad153_5T_1-index_30	333	0.00014%
Reverse_adapter	361	0.00015%
Ad153_5T_1-index_50	314	0.00013%
Ad153_5T_1-index_34	316	0.00013%
Ad153_5T_1-index_52	325	0.00014%
Ad153_5T_1-index_122	314	0.00013%
Ad153_5T_1-index_58	306	0.00013%
Ad153_5T_1-index_128	360	0.00015%
Ad153_5T_1-index_86	338	0.00014%
Ad153_5T_1-index_77	279	0.00012%
Ad153_5T_1-index_73	279	0.00012%
Ad153_5T_1-index_26	281	0.00012%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	273	0.00012%
Ad153_5T_1-index_51	262	0.00011%
Ad153_5T_1-index_46	276	0.00012%
Ad153_5T_1-index_28	253	0.00011%
Ad153_5T_1-index_123	250	0.00011%
Ad153_5T_1-index_83	244	0.00010%
Ad153_5T_1-index_92	242	0.00010%
Ad153_5T_1-index_41	235	0.00010%
Ad153_5T_1-index_63	233	0.00010%
Ad153_5T_1-index_116	221	0.00009%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	219	0.00009%
Ad153_5T_1-index_113	217	0.00009%
Ad153_5T_1-index_110	216	0.00009%
Ad153_5T_1-index_103	211	0.00009%
Ad153_5T_1-index_32	207	0.00009%
Ad153_5T_1-index_24	205	0.00009%
Ad153_5T_1-index_84	206	0.00009%
Ad153_5T_1-index_42	198	0.00008%
Ad153_5T_1-index_109	196	0.00008%
Ad153_5T_1-index_120	194	0.00008%
Ad153_5T_1-index_121	193	0.00008%
Ad153_5T_1-index_90	199	0.00008%
RNA_PCR_Primer_Index_43_(RPI43)	187	0.00008%
Ad153_5T_1-index_98	184	0.00008%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	180	0.00008%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	179	0.00008%
Ad153_5T_1-index_111	179	0.00008%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	176	0.00007%
Ad153_5T_1-index_88	175	0.00007%
Ad153_5T_1-index_57	169	0.00007%
Ad153_5T_1-index_99	193	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	168	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	163	0.00007%
Ad153_5T_1-index_53	157	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	157	0.00007%
Ad153_5T_1-index_81	157	0.00007%
RNA_PCR_Primer_Index_45_(RPI45)	154	0.00006%
Ad153_5T_1-index_118	154	0.00006%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	152	0.00006%
Ad153_5T_1-index_85	152	0.00006%
Ad153_5T_1-index_54	149	0.00006%
RNA_PCR_Primer_Index_35_(RPI35)	144	0.00006%
Ad153_5T_1-index_96	145	0.00006%
Ad153_5T_1-index_74	141	0.00006%
Ad153_5T_1-index_35	137	0.00006%
Ad153_5T_1-index_38	150	0.00006%
Ad153_5T_1-index_125	133	0.00006%
Ad153_5T_1-index_94	133	0.00006%
I5_Nextera_Transposase_2	133	0.00006%
TruSeq_Adapter_Index_27	131	0.00006%
TruSeq_Adapter_Index_25	129	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	129	0.00005%
Ad153_5T_1-index_89	128	0.00005%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	126	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	124	0.00005%
TruSeq_Adapter_Index_4	124	0.00005%
Stop_Oligo_(STP)_8	118	0.00005%
Ad153_5T_1-index_64	121	0.00005%
Ad153_5T_1-index_117	117	0.00005%
Ad153_5T_1-index_100	116	0.00005%
Ad153_5T_1-index_37	116	0.00005%
RNA_PCR_Primer_Index_44_(RPI44)	114	0.00005%
TruSeq_Adapter_Index_16	114	0.00005%
TruSeq_Adapter_Index_5	113	0.00005%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	112	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	112	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	112	0.00005%
Ad153_5T_1-index_69	111	0.00005%
TruSeq_Adapter_Index_13	111	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	110	0.00005%
Ad153_5T_1-index_107	111	0.00005%
TruSeq_Adapter_Index_15	109	0.00005%
RNA_PCR_Primer_Index_48_(RPI48)	107	0.00005%
I5_Nextera_Transposase_1	110	0.00005%
Ad153_5T_1-index_70	104	0.00004%
I7_Adapter_Nextera_No_Barcode	104	0.00004%
I5_Adapter_Nextera	101	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	101	0.00004%
Ad153_5T_1-index_127	102	0.00004%
Ad153_5T_1-index_66	102	0.00004%
Ad153_5T_1-index_82	99	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N724	96	0.00004%
RNA_PCR_Primer_(RP1)_part_#_15013198	92	0.00004%
TruSeq_Adapter_Index_7	92	0.00004%
RNA_PCR_Primer_Index_14_(RPI14)	91	0.00004%
TruSeq_Adapter_Index_8	91	0.00004%
RNA_PCR_Primer_Index_40_(RPI40)	90	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	89	0.00004%
Ad153_5T_1-index_9	92	0.00004%
I7_Nextera_Transposase_2	87	0.00004%
Ad153_5T_1-index_119	88	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N721	85	0.00004%
Ad153_5T_1-index_93	85	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	84	0.00004%
RNA_PCR_Primer_Index_33_(RPI33)	84	0.00004%
RNA_PCR_Primer_Index_47_(RPI47)	83	0.00003%
Ad153_5T_1-index_124	81	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	80	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	80	0.00003%
TruSeq_Adapter_Index_3	80	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	80	0.00003%
RNA_PCR_Primer_Index_18_(RPI18)	79	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	78	0.00003%
RNA_PCR_Primer_Index_15_(RPI15)	78	0.00003%
TruSeq_Adapter_Index_11	78	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	75	0.00003%
TruSeq_Adapter_Index_6	73	0.00003%
Ad153_5T_1-index_76	73	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	72	0.00003%
RNA_PCR_Primer_Index_30_(RPI30)	71	0.00003%
RNA_PCR_Primer_Index_13_(RPI13)	70	0.00003%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	70	0.00003%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	65	0.00003%
RNA_PCR_Primer_Index_32_(RPI32)	65	0.00003%
RNA_PCR_Primer_Index_37_(RPI37)	65	0.00003%
RNA_PCR_Primer_Index_28_(RPI28)	64	0.00003%
TruSeq_Adapter_Index_14	63	0.00003%
Ad153_5T_1-index_102	62	0.00003%
RNA_PCR_Primer_Index_26_(RPI26)	62	0.00003%
TruSeq_Adapter_Index_12	62	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	62	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N722	58	0.00002%
RNA_PCR_Primer_Index_36_(RPI36)	58	0.00002%
TruSeq_Adapter_Index_21	58	0.00002%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	58	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	58	0.00002%
Ad153_5T_1-index_126	57	0.00002%
TruSeq_Adapter_Index_9	57	0.00002%
TruSeq_Adapter_Index_20	53	0.00002%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	52	0.00002%
RNA_PCR_Primer_Index_19_(RPI19)	52	0.00002%
RNA_PCR_Primer_Index_29_(RPI29)	51	0.00002%
RNA_PCR_Primer_Index_38_(RPI38)	51	0.00002%
PhiX_read2_adapter	50	0.00002%
RNA_PCR_Primer_Index_41_(RPI41)	51	0.00002%
RNA_PCR_Primer_Index_42_(RPI42)	49	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	47	0.00002%
I7_Nextera_Transposase_1	50	0.00002%
TruSeq_Adapter_Index_2	45	0.00002%
RNA_PCR_Primer_Index_34_(RPI34)	44	0.00002%
RNA_PCR_Primer_Index_31_(RPI31)	43	0.00002%
TruSeq_Adapter_Index_19	40	0.00002%
RNA_PCR_Primer_Index_46_(RPI46)	39	0.00002%
TruSeq_Adapter_Index_18_7	39	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	38	0.00002%
TruSeq_Adapter_Index_10	38	0.00002%
RNA_PCR_Primer_Index_20_(RPI20)	37	0.00002%
RNA_PCR_Primer_Index_25_(RPI25)	36	0.00002%
RNA_PCR_Primer_Index_16_(RPI16)	36	0.00002%
RNA_PCR_Primer_Index_22_(RPI22)	35	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	33	0.00001%
RNA_PCR_Primer_Index_3_(RPI3)	33	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N709	32	0.00001%
TruSeq_Adapter_Index_23	32	0.00001%
RNA_PCR_Primer_Index_17_(RPI17)	30	0.00001%
RNA_PCR_Primer_Index_23_(RPI23)	30	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	28	0.00001%
RNA_PCR_Primer_Index_39_(RPI39)	27	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	26	0.00001%
RNA_PCR_Primer_Index_24_(RPI24)	26	0.00001%
