#File	../fastq/SRR23971542_1.fastq.gz
#Total	128357888
#Matched	80061589	62.37372%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	75620572	58.91385%
Ad153_5T_1-index_8	2236250	1.74220%
Ad153_5T_1-index_4	983198	0.76598%
Barcode_SE_sequencing_primer	1123876	0.87558%
Ad153Ω_Bottom_2	73551	0.05730%
Ad153_5T_1-index_29	5495	0.00428%
Ad153_5T_1-index_22	2793	0.00218%
Ad153_5T_1-index_10	2194	0.00171%
Ad153_5T_1-index_39	2037	0.00159%
Ad153_5T_1-index_101	1443	0.00112%
Ad153_5T_1-index_65	967	0.00075%
Ad153_5T_1-index_31	908	0.00071%
Ad153_5T_1-index_63	695	0.00054%
Ad153_5T_1-index_62	500	0.00039%
Ad153_5T_1-index_49	481	0.00037%
Ad153_5T_1-index_53	426	0.00033%
Ad153_5T_1-index_15	411	0.00032%
Ad153_5T_1-index_3	320	0.00025%
Ad153_5T_1-index_2	307	0.00024%
Ad153_5T_1-index_14	281	0.00022%
Ad153_5T_1-index_26	280	0.00022%
Barcode_PE_sequencing_primer	293	0.00023%
Ad153_5T_1-index_97	258	0.00020%
Ad153_5T_1-index_11	243	0.00019%
Ad153_5T_1-index_107	233	0.00018%
Ad153_5T_1-index_13	182	0.00014%
Read_1_sequencing_primer	147	0.00011%
Ad153_5T_1-index_16	146	0.00011%
Ad153_5T_1-index_117	143	0.00011%
Ad153_5T_1-index_48	131	0.00010%
Ad153_5T_1-index_47	120	0.00009%
Ad153_5T_1-index_21	118	0.00009%
Ad153_5T_1-index_28	117	0.00009%
TruSeq_Universal_Adapter	79	0.00006%
Ad153_5T_1-index_37	67	0.00005%
Ad153_5T_1-index_88	66	0.00005%
Reverse_adapter	66	0.00005%
Ad153_5T_1-index_75	61	0.00005%
Ad153_5T_1-index_40	47	0.00004%
Ad153_5T_1-index_42	47	0.00004%
Ad153_5T_1-index_20	46	0.00004%
Ad153_5T_1-index_91	45	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	45	0.00004%
Ad153_5T_1-index_6	47	0.00004%
Ad153_5T_1-index_102	41	0.00003%
Ad153_5T_1-index_32	39	0.00003%
Ad153_5T_1-index_77	37	0.00003%
Ad153_5T_1-index_96	35	0.00003%
Ad153_5T_1-index_115	33	0.00003%
Ad153_5T_1-index_105	31	0.00002%
Ad153_5T_1-index_30	31	0.00002%
Ad153_5T_1-index_95	30	0.00002%
Ad153_5T_1-index_92	29	0.00002%
Ad153_5T_1-index_71	28	0.00002%
Ad153_5T_1-index_25	28	0.00002%
Ad153_5T_1-index_23	34	0.00003%
Ad153_5T_1-index_68	26	0.00002%
Ad153_5T_1-index_18	25	0.00002%
Ad153_5T_1-index_116	24	0.00002%
Ad153_5T_1-index_27	24	0.00002%
Ad153_5T_1-index_33	24	0.00002%
Ad153_5T_1-index_58	24	0.00002%
Ad153_5T_1-index_93	24	0.00002%
Ad153_5T_1-index_38	22	0.00002%
Ad153_5T_1-index_83	22	0.00002%
Ad153_5T_1-index_114	21	0.00002%
Ad153_5T_1-index_7	21	0.00002%
Ad153_5T_1-index_79	21	0.00002%
Ad153_5T_1-index_106	20	0.00002%
Ad153_5T_1-index_36	20	0.00002%
Ad153_5T_1-index_45	19	0.00001%
Ad153_5T_1-index_84	19	0.00001%
Ad153_5T_1-index_113	18	0.00001%
Ad153_5T_1-index_17	18	0.00001%
TruSeq_Adapter_Index_3	18	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	17	0.00001%
Ad153_5T_1-index_104	16	0.00001%
Ad153_5T_1-index_52	16	0.00001%
Ad153_5T_1-index_55	16	0.00001%
Ad153_5T_1-index_74	16	0.00001%
Ad153_5T_1-index_90	16	0.00001%
Ad153_5T_1-index_80	16	0.00001%
Ad153_5T_1-index_44	15	0.00001%
Ad153_5T_1-index_110	14	0.00001%
Ad153_5T_1-index_122	14	0.00001%
Ad153_5T_1-index_125	14	0.00001%
Ad153_5T_1-index_67	14	0.00001%
Ad153_5T_1-index_86	14	0.00001%
Ad153_5T_1-index_19	13	0.00001%
Ad153_5T_1-index_24	13	0.00001%
Ad153_5T_1-index_56	13	0.00001%
Ad153_5T_1-index_72	13	0.00001%
Ad153_5T_1-index_87	13	0.00001%
Ad153_Splint_oligo	13	0.00001%
RNA_PCR_Primer_Index_45_(RPI45)	13	0.00001%
Ad153_5T_1-index_121	12	0.00001%
Ad153_5T_1-index_41	12	0.00001%
Ad153_5T_1-index_50	12	0.00001%
Ad153_5T_1-index_61	12	0.00001%
Ad153_5T_1-index_85	12	0.00001%
RNA_PCR_Primer_Index_13_(RPI13)	12	0.00001%
Ad153_5T_1-index_108	11	0.00001%
Ad153_5T_1-index_111	11	0.00001%
Ad153_5T_1-index_70	11	0.00001%
Ad153_5T_1-index_94	11	0.00001%
PCR_Primers	11	0.00001%
TruSeq_Adapter_Index_5	11	0.00001%
Ad153_5T_1-index_120	10	0.00001%
Ad153_5T_1-index_127	10	0.00001%
Ad153_5T_1-index_54	10	0.00001%
Ad153_5T_1-index_81	10	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N716	10	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	10	0.00001%
TruSeq_Adapter_Index_4	10	0.00001%
Ad153_5T_1-index_46	9	0.00001%
Ad153_5T_1-index_64	9	0.00001%
Ad153_5T_1-index_73	9	0.00001%
Ad153_5T_1-index_9	9	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	9	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	9	0.00001%
TruSeq_Adapter_Index_25	9	0.00001%
Ad153_5T_1-index_109	8	0.00001%
Ad153_5T_1-index_123	8	0.00001%
Ad153_5T_1-index_126	8	0.00001%
Ad153_5T_1-index_51	8	0.00001%
Ad153_5T_1-index_57	8	0.00001%
Ad153_5T_1-index_59	8	0.00001%
Ad153_5T_1-index_66	8	0.00001%
Ad153_5T_1-index_82	8	0.00001%
Ad153_5T_1-index_89	8	0.00001%
Ad153_5T_1-index_112	7	0.00001%
Ad153_5T_1-index_124	7	0.00001%
Ad153_5T_1-index_34	7	0.00001%
Ad153_5T_1-index_99	7	0.00001%
I5_Nextera_Transposase_1	7	0.00001%
I5_Nextera_Transposase_2	7	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	7	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	7	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	7	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	7	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	7	0.00001%
