#File	../fastq/SRR23971566_1.fastq.gz	../fastq/SRR23971566_2.fastq.gz
#Total	567994570
#Matched	745222749	131.20244%
#Name	Reads	ReadsPct
Ad153_5T_1-index_22	345940605	60.90562%
Ad153Ω_Bottom_2	184647651	32.50870%
Barcode_SE_sequencing_primer	174252181	30.67849%
Ad153_5T_1-index_1	29001320	5.10592%
Ad153_Splint_oligo	1546808	0.27233%
Ad153_5T_1-index_62	1136195	0.20004%
Read_1_sequencing_primer	1742820	0.30684%
Ad153_5T_1-index_4	1036011	0.18240%
Ad153_5T_1-index_11	604469	0.10642%
Ad153_5T_1-index_10	550593	0.09694%
Ad153_5T_1-index_30	475793	0.08377%
Ad153_5T_1-index_2	494975	0.08714%
Ad153_5T_1-index_8	437493	0.07702%
Ad153_5T_1-index_5	391612	0.06895%
Barcode_PE_sequencing_primer	397837	0.07004%
Ad153_5T_1-index_6	295719	0.05206%
Ad153_5T_1-index_28	249945	0.04400%
Ad153_5T_1-index_18	252982	0.04454%
Ad153_5T_1-index_15	292875	0.05156%
Ad153_5T_1-index_14	239900	0.04224%
Ad153_5T_1-index_26	149229	0.02627%
Ad153_5T_1-index_78	126676	0.02230%
Ad153_5T_1-index_80	116263	0.02047%
Ad153_5T_1-index_32	113990	0.02007%
Ad153_5T_1-index_114	81387	0.01433%
Ad153_5T_1-index_33	80243	0.01413%
Ad153_5T_1-index_71	66018	0.01162%
Ad153_5T_1-index_44	34014	0.00599%
Ad153_5T_1-index_23	33303	0.00586%
Ad153_5T_1-index_3	33919	0.00597%
Ad153_5T_1-index_29	30284	0.00533%
Ad153_5T_1-index_31	31185	0.00549%
Ad153_5T_1-index_34	24577	0.00433%
Ad153_5T_1-index_65	23621	0.00416%
Ad153_5T_1-index_21	19719	0.00347%
Ad153_5T_1-index_81	14898	0.00262%
Ad153_5T_1-index_41	13568	0.00239%
Ad153_5T_1-index_68	13113	0.00231%
Ad153_5T_1-index_103	12993	0.00229%
Ad153_5T_1-index_27	13162	0.00232%
Ad153_5T_1-index_52	12067	0.00212%
Ad153_5T_1-index_87	9554	0.00168%
Ad153_5T_1-index_47	8518	0.00150%
Ad153_5T_1-index_63	8344	0.00147%
Ad153_5T_1-index_79	6961	0.00123%
Ad153_5T_1-index_101	6777	0.00119%
Ad153_5T_1-index_104	6566	0.00116%
Ad153_5T_1-index_92	6511	0.00115%
Ad153_5T_1-index_36	6164	0.00109%
Ad153_5T_1-index_49	6083	0.00107%
Ad153_5T_1-index_115	6197	0.00109%
Ad153_5T_1-index_17	5801	0.00102%
Ad153_5T_1-index_7	5642	0.00099%
Ad153_5T_1-index_106	5242	0.00092%
Ad153_5T_1-index_61	4856	0.00085%
Ad153_5T_1-index_67	4651	0.00082%
Ad153_5T_1-index_123	4774	0.00084%
Ad153_5T_1-index_13	4243	0.00075%
