#File	../fastq/SRR23971574_1.fastq.gz	../fastq/SRR23971574_2.fastq.gz
#Total	197394836
#Matched	168077753	85.14800%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	93154586	47.19201%
Ad153Ω_Bottom_2	36083983	18.28010%
Barcode_SE_sequencing_primer	35907763	18.19083%
Ad153_5T_1-index_22	791774	0.40111%
Barcode_PE_sequencing_primer	420159	0.21285%
Ad153_Splint_oligo	402711	0.20401%
Read_1_sequencing_primer	296065	0.14999%
Ad153_5T_1-index_11	125345	0.06350%
Ad153_5T_1-index_10	115091	0.05830%
Ad153_5T_1-index_4	77192	0.03911%
Ad153_5T_1-index_59	66565	0.03372%
Ad153_5T_1-index_3	67694	0.03429%
Ad153_5T_1-index_25	61114	0.03096%
Ad153_5T_1-index_2	71790	0.03637%
Ad153_5T_1-index_8	41488	0.02102%
Ad153_5T_1-index_7	32608	0.01652%
Ad153_5T_1-index_21	31334	0.01587%
Ad153_5T_1-index_68	46400	0.02351%
Ad153_5T_1-index_36	25735	0.01304%
Ad153_5T_1-index_6	20302	0.01028%
Ad153_5T_1-index_45	16626	0.00842%
Ad153_5T_1-index_16	16083	0.00815%
Ad153_5T_1-index_19	19287	0.00977%
Ad153_5T_1-index_72	12364	0.00626%
Ad153_5T_1-index_34	10367	0.00525%
Ad153_5T_1-index_67	9683	0.00491%
Ad153_5T_1-index_39	9388	0.00476%
Ad153_5T_1-index_5	9736	0.00493%
Ad153_5T_1-index_12	9016	0.00457%
Ad153_5T_1-index_79	8625	0.00437%
Ad153_5T_1-index_81	7404	0.00375%
Ad153_5T_1-index_63	7116	0.00360%
Ad153_5T_1-index_42	6457	0.00327%
Ad153_5T_1-index_26	5547	0.00281%
Ad153_5T_1-index_23	5914	0.00300%
Ad153_5T_1-index_18	3522	0.00178%
Ad153_5T_1-index_50	3777	0.00191%
Ad153_5T_1-index_41	4069	0.00206%
Ad153_5T_1-index_110	3427	0.00174%
Ad153_5T_1-index_33	4014	0.00203%
Ad153_5T_1-index_30	2840	0.00144%
Ad153_5T_1-index_38	4397	0.00223%
Ad153_5T_1-index_20	2372	0.00120%
Ad153_5T_1-index_114	2169	0.00110%
Ad153_5T_1-index_31	2153	0.00109%
Ad153_5T_1-index_80	1745	0.00088%
Ad153_5T_1-index_91	1722	0.00087%
Ad153_5T_1-index_14	2458	0.00125%
Ad153_5T_1-index_78	1495	0.00076%
TruSeq_Universal_Adapter	2142	0.00109%
Ad153_5T_1-index_90	2147	0.00109%
I5_Nextera_Transposase_1	2361	0.00120%
Ad153_5T_1-index_127	1144	0.00058%
Ad153_5T_1-index_88	1141	0.00058%
Ad153_5T_1-index_29	1163	0.00059%
Ad153_5T_1-index_44	980	0.00050%
Ad153_5T_1-index_15	990	0.00050%
Ad153_5T_1-index_100	1216	0.00062%
Ad153_5T_1-index_32	1028	0.00052%
Ad153_5T_1-index_97	902	0.00046%
Ad153_5T_1-index_52	1105	0.00056%
Ad153_5T_1-index_92	864	0.00044%
I7_Nextera_Transposase_1	1558	0.00079%
Ad153_5T_1-index_82	1080	0.00055%
Ad153_5T_1-index_108	939	0.00048%
Ad153_5T_1-index_115	720	0.00036%
Ad153_5T_1-index_28	850	0.00043%
PCR_Primers	960	0.00049%
Ad153_5T_1-index_71	601	0.00030%
Ad153_5T_1-index_101	554	0.00028%
Ad153_5T_1-index_86	618	0.00031%
Ad153_5T_1-index_62	459	0.00023%
Ad153_5T_1-index_49	451	0.00023%
Ad153_5T_1-index_37	446	0.00023%
Ad153_5T_1-index_105	404	0.00020%
Ad153_5T_1-index_51	403	0.00020%
Ad153_5T_1-index_57	410	0.00021%
Ad153_5T_1-index_106	391	0.00020%
Ad153_5T_1-index_65	383	0.00019%
Ad153_5T_1-index_55	439	0.00022%
Ad153_5T_1-index_120	353	0.00018%
Ad153_5T_1-index_27	371	0.00019%
Ad153_5T_1-index_98	430	0.00022%
Ad153_5T_1-index_47	336	0.00017%
Ad153_5T_1-index_74	322	0.00016%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	327	0.00017%
Ad153_5T_1-index_60	317	0.00016%
Ad153_5T_1-index_123	340	0.00017%
Ad153_5T_1-index_13	311	0.00016%
Ad153_5T_1-index_84	304	0.00015%
Ad153_5T_1-index_104	287	0.00015%
Ad153_5T_1-index_24	277	0.00014%
Ad153_5T_1-index_17	280	0.00014%
Ad153_5T_1-index_116	338	0.00017%
Ad153_5T_1-index_61	258	0.00013%
Ad153_5T_1-index_96	250	0.00013%
Ad153_5T_1-index_93	245	0.00012%
Ad153_5T_1-index_109	283	0.00014%
pcr_dimer	316	0.00016%
Ad153_5T_1-index_40	232	0.00012%
Ad153_5T_1-index_103	204	0.00010%
Ad153_5T_1-index_87	203	0.00010%
Ad153_5T_1-index_56	198	0.00010%
Ad153_5T_1-index_124	196	0.00010%
Ad153_5T_1-index_58	192	0.00010%
Ad153_5T_1-index_53	180	0.00009%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	178	0.00009%
Ad153_5T_1-index_95	196	0.00010%
Ad153_5T_1-index_121	157	0.00008%
Ad153_5T_1-index_46	173	0.00009%
Ad153_5T_1-index_77	164	0.00008%
Ad153_5T_1-index_73	151	0.00008%
Reverse_adapter	192	0.00010%
Ad153_5T_1-index_70	150	0.00008%
Ad153_5T_1-index_99	161	0.00008%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	140	0.00007%
Ad153_5T_1-index_83	137	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	135	0.00007%
RNA_PCR_Primer_Index_18_(RPI18)	133	0.00007%
Ad153_5T_1-index_118	136	0.00007%
Ad153_5T_1-index_66	133	0.00007%
Ad153_5T_1-index_43	134	0.00007%
Ad153_5T_1-index_76	136	0.00007%
Ad153_5T_1-index_111	132	0.00007%
Ad153_5T_1-index_119	129	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	127	0.00006%
Ad153_5T_1-index_64	131	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	141	0.00007%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	116	0.00006%
Ad153_5T_1-index_128	120	0.00006%
Ad153_5T_1-index_107	111	0.00006%
Ad153_5T_1-index_75	113	0.00006%
