#File	../fastq/SRR23971518_1.fastq.gz
#Total	116413586
#Matched	18717049	16.07806%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	18179053	15.61592%
Barcode_SE_sequencing_primer	436914	0.37531%
Ad153Ω_Bottom_2	78969	0.06783%
Ad153_5T_1-index_33	3538	0.00304%
Ad153_5T_1-index_11	2200	0.00189%
Ad153_5T_1-index_2	2011	0.00173%
Ad153_5T_1-index_4	1120	0.00096%
Ad153_5T_1-index_34	870	0.00075%
Ad153_5T_1-index_39	833	0.00072%
Ad153_5T_1-index_25	666	0.00057%
Ad153_5T_1-index_81	601	0.00052%
Ad153_5T_1-index_41	559	0.00048%
Ad153_5T_1-index_14	498	0.00043%
Ad153_5T_1-index_5	422	0.00036%
Ad153_5T_1-index_110	252	0.00022%
Ad153_5T_1-index_36	246	0.00021%
Ad153_5T_1-index_72	236	0.00020%
Ad153_5T_1-index_10	225	0.00019%
Ad153_5T_1-index_29	223	0.00019%
Ad153_5T_1-index_3	220	0.00019%
TruSeq_Universal_Adapter	206	0.00018%
Ad153_5T_1-index_30	196	0.00017%
Reverse_adapter	190	0.00016%
Ad153_5T_1-index_16	158	0.00014%
Ad153_5T_1-index_8	158	0.00014%
Ad153_5T_1-index_21	166	0.00014%
Ad153_5T_1-index_6	152	0.00013%
Ad153_5T_1-index_79	149	0.00013%
Ad153_5T_1-index_26	144	0.00012%
Ad153_5T_1-index_45	143	0.00012%
Ad153_5T_1-index_19	141	0.00012%
Ad153_5T_1-index_59	138	0.00012%
pcr_dimer	130	0.00011%
Ad153_5T_1-index_37	122	0.00010%
Ad153_5T_1-index_40	122	0.00010%
Ad153_5T_1-index_7	119	0.00010%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	94	0.00008%
Ad153_5T_1-index_32	89	0.00008%
Ad153_5T_1-index_67	89	0.00008%
Ad153_5T_1-index_50	88	0.00008%
Ad153_5T_1-index_42	84	0.00007%
Ad153_5T_1-index_97	81	0.00007%
Ad153_5T_1-index_18	79	0.00007%
Ad153_5T_1-index_92	78	0.00007%
Ad153_5T_1-index_91	79	0.00007%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	75	0.00006%
Ad153_5T_1-index_31	68	0.00006%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	68	0.00006%
Ad153_5T_1-index_124	65	0.00006%
Ad153_5T_1-index_9	62	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	60	0.00005%
Ad153_5T_1-index_49	59	0.00005%
TruSeq_Adapter_Index_15	58	0.00005%
Ad153_5T_1-index_116	57	0.00005%
Ad153_5T_1-index_105	51	0.00004%
Read_1_sequencing_primer	51	0.00004%
RNA_PCR_Primer_Index_30_(RPI30)	50	0.00004%
Ad153_5T_1-index_108	49	0.00004%
Ad153_5T_1-index_38	49	0.00004%
Stop_Oligo_(STP)_8	49	0.00004%
Ad153_Splint_oligo	48	0.00004%
Ad153_5T_1-index_15	47	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	47	0.00004%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	46	0.00004%
RNA_PCR_Primer_Index_41_(RPI41)	45	0.00004%
Ad153_5T_1-index_68	45	0.00004%
Ad153_5T_1-index_17	44	0.00004%
Ad153_5T_1-index_63	44	0.00004%
