#File	../fastq/SRR23971483_1.fastq.gz
#Total	105882981
#Matched	33877399	31.99513%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	30907030	29.18980%
Ad153Ω_Bottom_2	1411890	1.33344%
Barcode_SE_sequencing_primer	610938	0.57699%
Ad153_5T_1-index_27	436959	0.41268%
Ad153_5T_1-index_2	405080	0.38257%
Ad153_5T_1-index_17	92641	0.08749%
Ad153_5T_1-index_26	1518	0.00143%
Ad153_5T_1-index_71	1382	0.00131%
Ad153_5T_1-index_4	1384	0.00131%
Ad153_5T_1-index_48	1275	0.00120%
Ad153_5T_1-index_3	698	0.00066%
Read_1_sequencing_primer	558	0.00053%
Ad153_5T_1-index_10	514	0.00049%
Ad153_5T_1-index_33	419	0.00040%
Ad153_5T_1-index_35	279	0.00026%
Ad153_5T_1-index_16	258	0.00024%
Ad153_5T_1-index_6	249	0.00024%
Ad153_5T_1-index_14	181	0.00017%
Ad153_5T_1-index_81	180	0.00017%
Ad153_5T_1-index_42	148	0.00014%
Ad153_5T_1-index_11	141	0.00013%
Ad153_5T_1-index_41	122	0.00012%
Ad153_5T_1-index_76	97	0.00009%
Ad153_5T_1-index_59	89	0.00008%
Ad153_5T_1-index_105	85	0.00008%
Ad153_5T_1-index_18	84	0.00008%
Ad153_5T_1-index_28	84	0.00008%
Ad153_5T_1-index_29	80	0.00008%
Ad153_5T_1-index_39	78	0.00007%
Ad153_5T_1-index_56	68	0.00006%
Ad153_5T_1-index_22	65	0.00006%
Ad153_5T_1-index_31	62	0.00006%
Ad153_5T_1-index_20	51	0.00005%
I5_Nextera_Transposase_1	50	0.00005%
Ad153_5T_1-index_5	46	0.00004%
TruSeq_Universal_Adapter	45	0.00004%
Ad153_5T_1-index_115	42	0.00004%
Ad153_5T_1-index_58	39	0.00004%
Ad153_5T_1-index_70	39	0.00004%
Ad153_5T_1-index_36	40	0.00004%
Ad153_5T_1-index_108	35	0.00003%
Ad153_5T_1-index_30	35	0.00003%
Ad153_Splint_oligo	35	0.00003%
Ad153_5T_1-index_123	31	0.00003%
Ad153_5T_1-index_25	31	0.00003%
Ad153_5T_1-index_122	30	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	30	0.00003%
Ad153_5T_1-index_83	30	0.00003%
Ad153_5T_1-index_7	29	0.00003%
Ad153_5T_1-index_9	29	0.00003%
Ad153_5T_1-index_15	28	0.00003%
Ad153_5T_1-index_75	28	0.00003%
Barcode_PE_sequencing_primer	28	0.00003%
Ad153_5T_1-index_34	27	0.00003%
Ad153_5T_1-index_49	27	0.00003%
Ad153_5T_1-index_73	27	0.00003%
Ad153_5T_1-index_79	27	0.00003%
Ad153_5T_1-index_97	27	0.00003%
TruSeq_Adapter_Index_27	27	0.00003%
Ad153_5T_1-index_32	26	0.00002%
Ad153_5T_1-index_90	26	0.00002%
Ad153_5T_1-index_104	24	0.00002%
Ad153_5T_1-index_47	24	0.00002%
Ad153_5T_1-index_91	24	0.00002%
Ad153_5T_1-index_50	23	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	23	0.00002%
Ad153_5T_1-index_110	22	0.00002%
Ad153_5T_1-index_114	22	0.00002%
Ad153_5T_1-index_24	22	0.00002%
Ad153_5T_1-index_96	22	0.00002%
Ad153_5T_1-index_112	21	0.00002%
Ad153_5T_1-index_113	21	0.00002%
Ad153_5T_1-index_54	21	0.00002%
Ad153_5T_1-index_68	21	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	21	0.00002%
pcr_dimer	21	0.00002%
Ad153_5T_1-index_101	20	0.00002%
Ad153_5T_1-index_66	20	0.00002%
Ad153_5T_1-index_74	20	0.00002%
Ad153_5T_1-index_84	20	0.00002%
Ad153_5T_1-index_85	20	0.00002%
Ad153_5T_1-index_109	19	0.00002%
Ad153_5T_1-index_60	19	0.00002%
Ad153_5T_1-index_67	19	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	19	0.00002%
Ad153_5T_1-index_12	18	0.00002%
Ad153_5T_1-index_46	18	0.00002%
Ad153_5T_1-index_61	18	0.00002%
Ad153_5T_1-index_89	18	0.00002%
Ad153_5T_1-index_92	18	0.00002%
Ad153_5T_1-index_128	17	0.00002%
Ad153_5T_1-index_37	17	0.00002%
Ad153_5T_1-index_45	17	0.00002%
Ad153_5T_1-index_72	17	0.00002%
Ad153_5T_1-index_80	17	0.00002%
Ad153_5T_1-index_88	17	0.00002%
Ad153_5T_1-index_40	16	0.00002%
Ad153_5T_1-index_94	16	0.00002%
Ad153_5T_1-index_95	16	0.00002%
Reverse_adapter	16	0.00002%
Ad153_5T_1-index_116	15	0.00001%
Ad153_5T_1-index_52	15	0.00001%
Ad153_5T_1-index_64	15	0.00001%
Ad153_5T_1-index_98	15	0.00001%
RNA_PCR_Primer_Index_43_(RPI43)	15	0.00001%
Ad153_5T_1-index_117	14	0.00001%
Ad153_5T_1-index_120	14	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	14	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	14	0.00001%
Ad153_5T_1-index_38	14	0.00001%
Ad153_5T_1-index_119	13	0.00001%
Ad153_5T_1-index_19	13	0.00001%
Ad153_5T_1-index_21	13	0.00001%
Ad153_5T_1-index_44	13	0.00001%
Ad153_5T_1-index_69	13	0.00001%
Ad153_5T_1-index_51	13	0.00001%
Ad153_5T_1-index_106	12	0.00001%
Ad153_5T_1-index_125	12	0.00001%
Ad153_5T_1-index_53	12	0.00001%
Ad153_5T_1-index_65	12	0.00001%
Ad153_5T_1-index_87	12	0.00001%
RNA_PCR_Primer_Index_35_(RPI35)	12	0.00001%
Ad153_5T_1-index_100	11	0.00001%
Ad153_5T_1-index_23	11	0.00001%
Ad153_5T_1-index_55	11	0.00001%
Ad153_5T_1-index_57	11	0.00001%
Ad153_5T_1-index_77	11	0.00001%
Ad153_5T_1-index_78	11	0.00001%
Ad153_5T_1-index_8	11	0.00001%
Ad153_5T_1-index_86	11	0.00001%
I7_Nextera_Transposase_2	11	0.00001%
RNA_PCR_Primer_Index_14_(RPI14)	11	0.00001%
RNA_PCR_Primer_Index_34_(RPI34)	11	0.00001%
TruSeq_Adapter_Index_12	11	0.00001%
TruSeq_Adapter_Index_13	11	0.00001%
TruSeq_Adapter_Index_5	11	0.00001%
Ad153_5T_1-index_107	10	0.00001%
Ad153_5T_1-index_111	10	0.00001%
Ad153_5T_1-index_13	10	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	10	0.00001%
TruSeq_Adapter_Index_4	10	0.00001%
Ad153_5T_1-index_82	9	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	9	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	9	0.00001%
RNA_PCR_Primer_Index_28_(RPI28)	9	0.00001%
RNA_PCR_Primer_Index_40_(RPI40)	9	0.00001%
RNA_PCR_Primer_Index_41_(RPI41)	9	0.00001%
TruSeq_Adapter_Index_16	9	0.00001%
TruSeq_Adapter_Index_3	9	0.00001%
