#File	../fastq/SRR23971589_1.fastq.gz
#Total	100491175
#Matched	23328007	23.21399%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	21239540	21.13573%
Ad153_5T_1-index_10	1246290	1.24020%
Ad153_5T_1-index_4	333493	0.33186%
Barcode_SE_sequencing_primer	473882	0.47157%
Ad153Ω_Bottom_2	18381	0.01829%
Ad153_5T_1-index_39	4101	0.00408%
Ad153_5T_1-index_91	1810	0.00180%
Ad153_5T_1-index_31	1476	0.00147%
Ad153_5T_1-index_29	1312	0.00131%
Ad153_5T_1-index_8	747	0.00074%
Ad153_5T_1-index_40	557	0.00055%
Ad153_5T_1-index_47	515	0.00051%
Ad153_5T_1-index_48	412	0.00041%
Ad153_5T_1-index_2	375	0.00037%
Ad153_5T_1-index_105	318	0.00032%
Ad153_5T_1-index_97	223	0.00022%
Ad153_5T_1-index_45	200	0.00020%
Ad153_5T_1-index_49	164	0.00016%
Ad153_5T_1-index_3	179	0.00018%
Ad153_5T_1-index_13	136	0.00014%
Ad153_5T_1-index_128	134	0.00013%
Ad153_5T_1-index_14	132	0.00013%
Ad153_5T_1-index_30	126	0.00013%
Reverse_adapter	129	0.00013%
Ad153_5T_1-index_19	89	0.00009%
Ad153_5T_1-index_95	71	0.00007%
Barcode_PE_sequencing_primer	73	0.00007%
Ad153_5T_1-index_7	64	0.00006%
Ad153_5T_1-index_79	63	0.00006%
Ad153_5T_1-index_56	62	0.00006%
Ad153_5T_1-index_16	58	0.00006%
TruSeq_Universal_Adapter	57	0.00006%
Ad153_5T_1-index_122	50	0.00005%
Ad153_5T_1-index_22	46	0.00005%
Ad153_5T_1-index_11	44	0.00004%
Ad153_5T_1-index_18	42	0.00004%
Ad153_5T_1-index_71	41	0.00004%
Ad153_Splint_oligo	40	0.00004%
pcr_dimer	40	0.00004%
Ad153_5T_1-index_54	39	0.00004%
Ad153_5T_1-index_32	39	0.00004%
Ad153_5T_1-index_114	38	0.00004%
Ad153_5T_1-index_20	36	0.00004%
Ad153_5T_1-index_28	35	0.00003%
Ad153_5T_1-index_36	35	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	33	0.00003%
Ad153_5T_1-index_108	36	0.00004%
Ad153_5T_1-index_65	32	0.00003%
Ad153_5T_1-index_5	30	0.00003%
Ad153_5T_1-index_85	30	0.00003%
TruSeq_Adapter_Index_3	30	0.00003%
Ad153_5T_1-index_67	28	0.00003%
Ad153_5T_1-index_115	27	0.00003%
Ad153_5T_1-index_104	26	0.00003%
Ad153_5T_1-index_33	26	0.00003%
Ad153_5T_1-index_57	26	0.00003%
Ad153_5T_1-index_17	25	0.00002%
Ad153_5T_1-index_61	24	0.00002%
TruSeq_Adapter_Index_7	24	0.00002%
Ad153_5T_1-index_52	27	0.00003%
Ad153_5T_1-index_110	22	0.00002%
Ad153_5T_1-index_81	22	0.00002%
