#File	../fastq/SRR23971412_1.fastq.gz
#Total	154033234
#Matched	25042270	16.25771%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	24176284	15.69550%
Ad153Ω_Bottom_2	442053	0.28699%
Ad153_5T_1-index_2	151312	0.09823%
Barcode_SE_sequencing_primer	195951	0.12721%
Ad153_5T_1-index_16	68931	0.04475%
Ad153_5T_1-index_60	254	0.00016%
Ad153_5T_1-index_17	196	0.00013%
Ad153_5T_1-index_71	192	0.00012%
Ad153_5T_1-index_105	152	0.00010%
Ad153_5T_1-index_31	145	0.00009%
Ad153_5T_1-index_4	129	0.00008%
Ad153_5T_1-index_20	127	0.00008%
TruSeq_Universal_Adapter	127	0.00008%
Ad153_5T_1-index_45	119	0.00008%
Ad153_5T_1-index_11	118	0.00008%
pcr_dimer	113	0.00007%
Ad153_5T_1-index_123	103	0.00007%
Ad153_5T_1-index_67	93	0.00006%
Ad153_5T_1-index_18	92	0.00006%
Ad153_5T_1-index_100	89	0.00006%
Ad153_5T_1-index_49	85	0.00006%
Ad153_5T_1-index_10	84	0.00005%
Ad153_5T_1-index_104	78	0.00005%
Ad153_5T_1-index_3	78	0.00005%
Ad153_5T_1-index_39	77	0.00005%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	76	0.00005%
Ad153_5T_1-index_97	75	0.00005%
Ad153_5T_1-index_7	72	0.00005%
Ad153_5T_1-index_54	67	0.00004%
Ad153_5T_1-index_80	65	0.00004%
Read_1_sequencing_primer	65	0.00004%
Ad153_5T_1-index_14	61	0.00004%
Ad153_Splint_oligo	60	0.00004%
I5_Adapter_Nextera	60	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	60	0.00004%
Ad153_5T_1-index_92	58	0.00004%
Ad153_5T_1-index_64	55	0.00004%
Ad153_5T_1-index_70	54	0.00004%
Reverse_adapter	53	0.00003%
Ad153_5T_1-index_116	52	0.00003%
Ad153_5T_1-index_88	52	0.00003%
Ad153_5T_1-index_12	51	0.00003%
Ad153_5T_1-index_15	51	0.00003%
RNA_PCR_Primer_Index_46_(RPI46)	50	0.00003%
Ad153_5T_1-index_118	49	0.00003%
Ad153_5T_1-index_35	49	0.00003%
Ad153_5T_1-index_52	49	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	49	0.00003%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N705	48	0.00003%
Ad153_5T_1-index_124	46	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	46	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	46	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	46	0.00003%
Ad153_5T_1-index_28	45	0.00003%
Ad153_5T_1-index_6	45	0.00003%
Ad153_5T_1-index_38	44	0.00003%
Ad153_5T_1-index_46	44	0.00003%
Ad153_5T_1-index_53	44	0.00003%
Ad153_5T_1-index_8	44	0.00003%
Ad153_5T_1-index_61	43	0.00003%
Ad153_5T_1-index_121	42	0.00003%
Ad153_5T_1-index_30	42	0.00003%
Ad153_5T_1-index_91	42	0.00003%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	42	0.00003%
Ad153_5T_1-index_22	41	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	41	0.00003%
Ad153_5T_1-index_108	40	0.00003%
Ad153_5T_1-index_111	40	0.00003%
Ad153_5T_1-index_57	39	0.00003%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N706	39	0.00003%
Ad153_5T_1-index_102	38	0.00002%
Ad153_5T_1-index_27	38	0.00002%
Ad153_5T_1-index_33	38	0.00002%
Ad153_5T_1-index_114	37	0.00002%
Ad153_5T_1-index_56	37	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	37	0.00002%
Ad153_5T_1-index_26	36	0.00002%
Ad153_5T_1-index_79	36	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	36	0.00002%
Ad153_5T_1-index_94	35	0.00002%
Ad153_5T_1-index_112	34	0.00002%
Ad153_5T_1-index_36	34	0.00002%
Ad153_5T_1-index_48	34	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	34	0.00002%
TruSeq_Adapter_Index_5	34	0.00002%
Ad153_5T_1-index_25	33	0.00002%
Ad153_5T_1-index_40	33	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	33	0.00002%
Ad153_5T_1-index_115	32	0.00002%
Ad153_5T_1-index_13	32	0.00002%
