#File	../fastq/SRR23971509_1.fastq.gz	../fastq/SRR23971509_2.fastq.gz
#Total	251516184
#Matched	53659840	21.33455%
#Name	Reads	ReadsPct
Ad153_5T_1-index_11	24043230	9.55932%
Ad153Ω_Bottom_2	13383308	5.32105%
Barcode_SE_sequencing_primer	12190743	4.84690%
Ad153_5T_1-index_1	2280390	0.90666%
Ad153_5T_1-index_22	851792	0.33866%
Ad153_5T_1-index_10	119283	0.04743%
Barcode_PE_sequencing_primer	110295	0.04385%
Ad153_5T_1-index_3	93462	0.03716%
Read_1_sequencing_primer	160577	0.06384%
Ad153_Splint_oligo	70303	0.02795%
Ad153_5T_1-index_4	52247	0.02077%
Ad153_5T_1-index_8	50326	0.02001%
Ad153_5T_1-index_2	52598	0.02091%
Ad153_5T_1-index_25	31527	0.01253%
Ad153_5T_1-index_7	21176	0.00842%
Ad153_5T_1-index_6	20339	0.00809%
Ad153_5T_1-index_51	13341	0.00530%
Ad153_5T_1-index_55	9179	0.00365%
Ad153_5T_1-index_97	7868	0.00313%
Ad153_5T_1-index_36	7421	0.00295%
Ad153_5T_1-index_33	7908	0.00314%
Ad153_5T_1-index_5	6340	0.00252%
Ad153_5T_1-index_12	5514	0.00219%
Ad153_5T_1-index_60	5080	0.00202%
Ad153_5T_1-index_86	4783	0.00190%
Ad153_5T_1-index_73	4547	0.00181%
Ad153_5T_1-index_18	2951	0.00117%
Ad153_5T_1-index_46	2757	0.00110%
Ad153_5T_1-index_116	2534	0.00101%
Ad153_5T_1-index_26	2212	0.00088%
Ad153_5T_1-index_41	2140	0.00085%
Ad153_5T_1-index_28	2014	0.00080%
Ad153_5T_1-index_20	1942	0.00077%
Ad153_5T_1-index_114	1924	0.00076%
Ad153_5T_1-index_112	1664	0.00066%
Ad153_5T_1-index_23	1660	0.00066%
Ad153_5T_1-index_35	1633	0.00065%
Ad153_5T_1-index_88	1541	0.00061%
Ad153_5T_1-index_31	1308	0.00052%
Ad153_5T_1-index_91	1222	0.00049%
Ad153_5T_1-index_118	1101	0.00044%
Ad153_5T_1-index_30	1149	0.00046%
Ad153_5T_1-index_44	1037	0.00041%
Ad153_5T_1-index_68	1071	0.00043%
Ad153_5T_1-index_40	891	0.00035%
Ad153_5T_1-index_21	871	0.00035%
Ad153_5T_1-index_104	840	0.00033%
Ad153_5T_1-index_80	754	0.00030%
Ad153_5T_1-index_72	705	0.00028%
Ad153_5T_1-index_65	681	0.00027%
Ad153_5T_1-index_62	563	0.00022%
Ad153_5T_1-index_123	542	0.00022%
Ad153_5T_1-index_15	544	0.00022%
Ad153_5T_1-index_16	457	0.00018%
Ad153_5T_1-index_17	417	0.00017%
Ad153_5T_1-index_71	412	0.00016%
Ad153_5T_1-index_34	402	0.00016%
Ad153_5T_1-index_105	389	0.00015%
Ad153_5T_1-index_59	384	0.00015%
Ad153_5T_1-index_42	387	0.00015%
Ad153_5T_1-index_115	364	0.00014%
Ad153_5T_1-index_14	356	0.00014%
Ad153_5T_1-index_103	354	0.00014%
Ad153_5T_1-index_29	366	0.00015%
Ad153_5T_1-index_74	345	0.00014%
Ad153_5T_1-index_63	335	0.00013%
Ad153_5T_1-index_19	343	0.00014%
Ad153_5T_1-index_39	319	0.00013%
Ad153_5T_1-index_78	284	0.00011%
Ad153_5T_1-index_106	277	0.00011%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	276	0.00011%
TruSeq_Universal_Adapter	295	0.00012%
Ad153_5T_1-index_102	274	0.00011%
Ad153_5T_1-index_121	257	0.00010%
Ad153_5T_1-index_61	267	0.00011%
Ad153_5T_1-index_79	266	0.00011%
Ad153_5T_1-index_107	249	0.00010%
Ad153_5T_1-index_27	256	0.00010%
Ad153_5T_1-index_108	228	0.00009%
Ad153_5T_1-index_93	220	0.00009%
RNA_PCR_Primer_Index_28_(RPI28)	212	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	211	0.00008%
Ad153_5T_1-index_58	211	0.00008%
Ad153_5T_1-index_67	205	0.00008%
Ad153_5T_1-index_101	202	0.00008%
Ad153_5T_1-index_45	198	0.00008%
Ad153_5T_1-index_87	195	0.00008%
Ad153_5T_1-index_92	190	0.00008%
Ad153_5T_1-index_52	192	0.00008%
Ad153_5T_1-index_49	180	0.00007%
Ad153_5T_1-index_99	214	0.00009%
Ad153_5T_1-index_56	169	0.00007%
Ad153_5T_1-index_128	206	0.00008%
Ad153_5T_1-index_66	156	0.00006%
Ad153_5T_1-index_32	154	0.00006%
Ad153_5T_1-index_96	152	0.00006%
Ad153_5T_1-index_84	148	0.00006%
Ad153_5T_1-index_94	144	0.00006%
Ad153_5T_1-index_98	139	0.00006%
Ad153_5T_1-index_64	139	0.00006%
TruSeq_Adapter_Index_3	134	0.00005%
Ad153_5T_1-index_24	131	0.00005%
Ad153_5T_1-index_95	132	0.00005%
Ad153_5T_1-index_57	129	0.00005%
