#File	../fastq/SRR23971557_1.fastq.gz	../fastq/SRR23971557_2.fastq.gz
#Total	82897758
#Matched	917469	1.10675%
#Name	Reads	ReadsPct
Ad153_5T_1-index_3	351679	0.42423%
Ad153Ω_Bottom_2	216195	0.26080%
Barcode_SE_sequencing_primer	189579	0.22869%
Ad153_5T_1-index_1	93444	0.11272%
Ad153_5T_1-index_6	12770	0.01540%
Barcode_PE_sequencing_primer	18290	0.02206%
Ad153_5T_1-index_4	6453	0.00778%
TruSeq_Universal_Adapter	5796	0.00699%
Ad153_5T_1-index_5	4216	0.00509%
Ad153_5T_1-index_41	3956	0.00477%
Ad153_5T_1-index_8	3420	0.00413%
PCR_Primers	3148	0.00380%
Ad153_5T_1-index_7	2921	0.00352%
Ad153_5T_1-index_2	1339	0.00162%
Read_1_sequencing_primer	1087	0.00131%
Ad153_Splint_oligo	879	0.00106%
Reverse_adapter	638	0.00077%
Ad153_5T_1-index_17	251	0.00030%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	247	0.00030%
PhiX_read2_adapter	169	0.00020%
Ad153_5T_1-index_18	128	0.00015%
Ad153_5T_1-index_27	106	0.00013%
pcr_dimer	53	0.00006%
I7_Primer_Nextera_XT_Index_Kit_v2_N716	40	0.00005%
Ad153_5T_1-index_29	39	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	80	0.00010%
Ad153_5T_1-index_72	33	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N704	32	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	25	0.00003%
Ad153_5T_1-index_128	23	0.00003%
Ad153_5T_1-index_32	19	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	30	0.00004%
Ad153_5T_1-index_31	18	0.00002%
Ad153_5T_1-index_73	18	0.00002%
Ad153_5T_1-index_23	15	0.00002%
Ad153_5T_1-index_12	14	0.00002%
TruSeq_Adapter_Index_3	19	0.00002%
Ad153_5T_1-index_49	13	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	31	0.00004%
Ad153_5T_1-index_22	13	0.00002%
TruSeq_Adapter_Index_8	12	0.00001%
Ad153_5T_1-index_42	9	0.00001%
Ad153_5T_1-index_71	9	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N709	9	0.00001%
Ad153_5T_1-index_123	8	0.00001%
Ad153_5T_1-index_47	8	0.00001%
Ad153_5T_1-index_53	8	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	8	0.00001%
Ad153_5T_1-index_33	8	0.00001%
Ad153_5T_1-index_115	7	0.00001%
Ad153_5T_1-index_96	7	0.00001%
Ad153_5T_1-index_68	7	0.00001%
Ad153_5T_1-index_78	8	0.00001%
Ad153_5T_1-index_21	6	0.00001%
Ad153_5T_1-index_93	6	0.00001%
Ad153_5T_1-index_92	5	0.00001%
Ad153_5T_1-index_65	6	0.00001%
TruSeq_Adapter_Index_4	5	0.00001%
Ad153_5T_1-index_52	4	0.00000%
Ad153_5T_1-index_64	4	0.00000%
Ad153_5T_1-index_99	4	0.00000%
Ad153_5T_1-index_10	4	0.00000%
TruSeq_Adapter_Index_2	7	0.00001%
Ad153_5T_1-index_107	3	0.00000%
Ad153_5T_1-index_14	3	0.00000%
Ad153_5T_1-index_24	3	0.00000%
Ad153_5T_1-index_77	3	0.00000%
Ad153_5T_1-index_79	3	0.00000%
