#File	../fastq/SRR23971486_1.fastq.gz
#Total	151986733
#Matched	15824434	10.41172%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	13056170	8.59034%
Ad153_5T_1-index_30	2351179	1.54696%
Barcode_SE_sequencing_primer	236142	0.15537%
Ad153_5T_1-index_5	112880	0.07427%
Ad153Ω_Bottom_2	43010	0.02830%
Ad153_5T_1-index_20	3736	0.00246%
Ad153_5T_1-index_82	3040	0.00200%
I5_Nextera_Transposase_1	1909	0.00126%
Ad153_5T_1-index_2	1351	0.00089%
Ad153_5T_1-index_28	1213	0.00080%
Ad153_5T_1-index_72	1028	0.00068%
Ad153_5T_1-index_128	758	0.00050%
Ad153_5T_1-index_14	639	0.00042%
Ad153_5T_1-index_49	577	0.00038%
Ad153_5T_1-index_4	546	0.00036%
Ad153_5T_1-index_41	459	0.00030%
Ad153_5T_1-index_8	444	0.00029%
TruSeq_Universal_Adapter	387	0.00025%
Ad153_5T_1-index_27	319	0.00021%
Ad153_5T_1-index_54	227	0.00015%
Ad153_5T_1-index_11	220	0.00014%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	203	0.00013%
Ad153_5T_1-index_51	200	0.00013%
Ad153_5T_1-index_3	199	0.00013%
pcr_dimer	190	0.00013%
Ad153_5T_1-index_32	163	0.00011%
Ad153_5T_1-index_17	157	0.00010%
Ad153_5T_1-index_95	146	0.00010%
Ad153_5T_1-index_26	132	0.00009%
TruSeq_Adapter_Index_16	129	0.00008%
Ad153_5T_1-index_37	127	0.00008%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	123	0.00008%
Ad153_5T_1-index_19	122	0.00008%
Ad153_5T_1-index_22	122	0.00008%
Ad153_5T_1-index_45	115	0.00008%
Ad153_5T_1-index_15	111	0.00007%
Ad153_5T_1-index_7	105	0.00007%
Ad153_5T_1-index_31	102	0.00007%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	98	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	96	0.00006%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	96	0.00006%
Ad153_5T_1-index_78	96	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	94	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	92	0.00006%
Reverse_adapter	89	0.00006%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	89	0.00006%
Ad153_5T_1-index_39	81	0.00005%
RNA_PCR_Primer_(RP1)_part_#_15013198	80	0.00005%
Ad153_5T_1-index_120	80	0.00005%
Read_1_sequencing_primer	78	0.00005%
Ad153_5T_1-index_92	87	0.00006%
Ad153_5T_1-index_57	71	0.00005%
Ad153_5T_1-index_104	70	0.00005%
RNA_PCR_Primer_Index_41_(RPI41)	70	0.00005%
Ad153_5T_1-index_53	69	0.00005%
Ad153_5T_1-index_63	68	0.00004%
Ad153_5T_1-index_23	69	0.00005%
Ad153_5T_1-index_18	66	0.00004%
Ad153_5T_1-index_35	64	0.00004%
Ad153_5T_1-index_67	60	0.00004%
Ad153_5T_1-index_83	60	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	60	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	58	0.00004%
Ad153_5T_1-index_97	57	0.00004%
Ad153_5T_1-index_36	56	0.00004%
Ad153_5T_1-index_61	61	0.00004%
Barcode_PE_sequencing_primer	55	0.00004%
Ad153_5T_1-index_46	54	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	53	0.00003%
PCR_Primers	50	0.00003%
Ad153_5T_1-index_80	49	0.00003%
Ad153_5T_1-index_108	48	0.00003%
Ad153_5T_1-index_6	48	0.00003%
Ad153_5T_1-index_99	47	0.00003%
Ad153_5T_1-index_110	46	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	45	0.00003%
Ad153_5T_1-index_71	54	0.00004%
Ad153_5T_1-index_105	43	0.00003%
Ad153_5T_1-index_16	43	0.00003%
Ad153_5T_1-index_38	42	0.00003%
I7_Nextera_Transposase_2	42	0.00003%
Ad153_5T_1-index_116	40	0.00003%
Ad153_5T_1-index_81	38	0.00003%
TruSeq_Adapter_Index_4	38	0.00003%
Ad153_5T_1-index_100	37	0.00002%
Ad153_5T_1-index_13	37	0.00002%
Ad153_5T_1-index_24	37	0.00002%
