#File	../fastq/SRR23971453_1.fastq.gz
#Total	106780574
#Matched	10497553	9.83096%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	9792176	9.17037%
Ad153_5T_1-index_17	273468	0.25610%
Ad153_5T_1-index_2	166478	0.15591%
Ad153Ω_Bottom_2	128628	0.12046%
Barcode_SE_sequencing_primer	129188	0.12098%
Barcode_PE_sequencing_primer	1269	0.00119%
Ad153_5T_1-index_84	311	0.00029%
Ad153_Splint_oligo	299	0.00028%
Ad153_5T_1-index_105	281	0.00026%
Ad153_5T_1-index_95	284	0.00027%
Ad153_5T_1-index_16	219	0.00021%
Ad153_5T_1-index_4	207	0.00019%
Ad153_5T_1-index_20	199	0.00019%
Ad153_5T_1-index_60	199	0.00019%
Ad153_5T_1-index_18	175	0.00016%
Ad153_5T_1-index_25	141	0.00013%
Ad153_5T_1-index_3	144	0.00013%
Ad153_5T_1-index_14	131	0.00012%
Ad153_5T_1-index_123	119	0.00011%
TruSeq_Universal_Adapter	104	0.00010%
Ad153_5T_1-index_31	79	0.00007%
Ad153_5T_1-index_41	75	0.00007%
Ad153_5T_1-index_10	79	0.00007%
Ad153_5T_1-index_65	72	0.00007%
Ad153_5T_1-index_11	69	0.00006%
Ad153_5T_1-index_61	68	0.00006%
Ad153_5T_1-index_39	67	0.00006%
Ad153_5T_1-index_48	63	0.00006%
Ad153_5T_1-index_27	60	0.00006%
Ad153_5T_1-index_49	59	0.00006%
Ad153_5T_1-index_6	52	0.00005%
Ad153_5T_1-index_7	51	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	50	0.00005%
Ad153_5T_1-index_127	51	0.00005%
Ad153_5T_1-index_35	48	0.00004%
Ad153_5T_1-index_5	48	0.00004%
Ad153_5T_1-index_70	48	0.00004%
Ad153_5T_1-index_50	46	0.00004%
Ad153_5T_1-index_91	46	0.00004%
Ad153_5T_1-index_103	45	0.00004%
Ad153_5T_1-index_40	45	0.00004%
Ad153_5T_1-index_67	45	0.00004%
Ad153_5T_1-index_23	44	0.00004%
Ad153_5T_1-index_56	40	0.00004%
Ad153_5T_1-index_33	40	0.00004%
Ad153_5T_1-index_118	38	0.00004%
pcr_dimer	37	0.00003%
Ad153_5T_1-index_121	36	0.00003%
Ad153_5T_1-index_38	36	0.00003%
Ad153_5T_1-index_120	34	0.00003%
Ad153_5T_1-index_108	32	0.00003%
Ad153_5T_1-index_29	30	0.00003%
Ad153_5T_1-index_104	29	0.00003%
Ad153_5T_1-index_37	29	0.00003%
Ad153_5T_1-index_45	29	0.00003%
TruSeq_Adapter_Index_27	29	0.00003%
Ad153_5T_1-index_116	28	0.00003%
Ad153_5T_1-index_30	28	0.00003%
Ad153_5T_1-index_83	28	0.00003%
Ad153_5T_1-index_88	26	0.00002%
Ad153_5T_1-index_110	24	0.00002%
RNA_PCR_Primer_Index_45_(RPI45)	24	0.00002%
Ad153_5T_1-index_55	23	0.00002%
Ad153_5T_1-index_57	23	0.00002%
Ad153_5T_1-index_92	23	0.00002%
Ad153_5T_1-index_97	23	0.00002%
Ad153_5T_1-index_32	22	0.00002%
Ad153_5T_1-index_71	22	0.00002%
Ad153_5T_1-index_36	21	0.00002%
Ad153_5T_1-index_42	21	0.00002%
Ad153_5T_1-index_54	21	0.00002%
Ad153_5T_1-index_80	21	0.00002%
Ad153_5T_1-index_99	21	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	21	0.00002%
Ad153_5T_1-index_12	20	0.00002%
Ad153_5T_1-index_96	20	0.00002%
Ad153_5T_1-index_75	19	0.00002%
Ad153_5T_1-index_9	19	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	19	0.00002%
Ad153_5T_1-index_15	19	0.00002%
Ad153_5T_1-index_115	18	0.00002%
Ad153_5T_1-index_24	18	0.00002%
Ad153_5T_1-index_51	18	0.00002%
