#File	../fastq/SRR23971514_1.fastq.gz	../fastq/SRR23971514_2.fastq.gz
#Total	214494804
#Matched	667169	0.31104%
#Name	Reads	ReadsPct
Ad153Ω_Bottom_2	301573	0.14060%
Barcode_SE_sequencing_primer	279432	0.13027%
Ad153_5T_1-index_1	23850	0.01112%
Ad153_5T_1-index_44	14790	0.00690%
Ad153_5T_1-index_43	13058	0.00609%
Ad153_5T_1-index_46	7352	0.00343%
Ad153_5T_1-index_41	6466	0.00301%
Ad153_5T_1-index_10	3731	0.00174%
Ad153_5T_1-index_48	2565	0.00120%
Ad153_5T_1-index_3	3104	0.00145%
Ad153_5T_1-index_42	1552	0.00072%
Read_1_sequencing_primer	1390	0.00065%
Ad153_5T_1-index_29	1007	0.00047%
Ad153_5T_1-index_33	892	0.00042%
Ad153_5T_1-index_45	880	0.00041%
Ad153_Splint_oligo	818	0.00038%
Ad153_5T_1-index_22	761	0.00035%
Ad153_5T_1-index_27	588	0.00027%
Ad153_5T_1-index_47	431	0.00020%
Barcode_PE_sequencing_primer	348	0.00016%
Ad153_5T_1-index_61	318	0.00015%
Ad153_5T_1-index_7	301	0.00014%
TruSeq_Universal_Adapter	208	0.00010%
Ad153_5T_1-index_111	159	0.00007%
Ad153_5T_1-index_12	149	0.00007%
Ad153_5T_1-index_107	147	0.00007%
Ad153_5T_1-index_125	114	0.00005%
Ad153_5T_1-index_24	107	0.00005%
Ad153_5T_1-index_17	84	0.00004%
Ad153_5T_1-index_35	57	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	54	0.00003%
Ad153_5T_1-index_65	49	0.00002%
Ad153_5T_1-index_4	48	0.00002%
Ad153_5T_1-index_49	41	0.00002%
Ad153_5T_1-index_32	40	0.00002%
Ad153_5T_1-index_14	38	0.00002%
Ad153_5T_1-index_56	32	0.00001%
Ad153_5T_1-index_2	25	0.00001%
Ad153_5T_1-index_72	24	0.00001%
Ad153_5T_1-index_11	20	0.00001%
Ad153_5T_1-index_36	18	0.00001%
Ad153_5T_1-index_34	17	0.00001%
Ad153_5T_1-index_78	16	0.00001%
Reverse_adapter	16	0.00001%
I7_Adapter_Nextera_No_Barcode	15	0.00001%
TruSeq_Adapter_Index_5	15	0.00001%
Ad153_5T_1-index_128	15	0.00001%
Ad153_5T_1-index_106	14	0.00001%
Ad153_5T_1-index_23	14	0.00001%
I7_Nextera_Transposase_1	14	0.00001%
PCR_Primers	13	0.00001%
TruSeq_Adapter_Index_6	13	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	14	0.00001%
Ad153_5T_1-index_95	13	0.00001%
RNA_PCR_Primer_Index_13_(RPI13)	12	0.00001%
pcr_dimer	13	0.00001%
Ad153_5T_1-index_77	11	0.00001%
Ad153_5T_1-index_101	10	0.00000%
Ad153_5T_1-index_102	10	0.00000%
Ad153_5T_1-index_21	10	0.00000%
Ad153_5T_1-index_6	10	0.00000%
Ad153_5T_1-index_66	10	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	10	0.00000%
Ad153_5T_1-index_73	9	0.00000%
Ad153_5T_1-index_26	9	0.00000%
Ad153_5T_1-index_25	8	0.00000%
Ad153_5T_1-index_90	7	0.00000%
Ad153_5T_1-index_5	7	0.00000%
Ad153_5T_1-index_19	6	0.00000%
Ad153_5T_1-index_20	6	0.00000%
Ad153_5T_1-index_39	6	0.00000%
Ad153_5T_1-index_54	6	0.00000%
Ad153_5T_1-index_79	6	0.00000%
I5_Nextera_Transposase_1	6	0.00000%
PhiX_read2_adapter	6	0.00000%
Ad153_5T_1-index_28	5	0.00000%
