#File	../fastq/SRR23971482_1.fastq.gz
#Total	133367538
#Matched	16864289	12.64497%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	15889857	11.91434%
Ad153_5T_1-index_26	427671	0.32067%
Barcode_SE_sequencing_primer	338388	0.25373%
Ad153_5T_1-index_3	174070	0.13052%
Ad153Ω_Bottom_2	22325	0.01674%
I5_Nextera_Transposase_1	1969	0.00148%
Ad153_5T_1-index_33	1270	0.00095%
Ad153_5T_1-index_4	1144	0.00086%
Ad153_5T_1-index_11	366	0.00027%
Ad153_5T_1-index_2	263	0.00020%
TruSeq_Universal_Adapter	233	0.00017%
Ad153_5T_1-index_121	158	0.00012%
pcr_dimer	135	0.00010%
Ad153_5T_1-index_44	128	0.00010%
Ad153_5T_1-index_60	104	0.00008%
Ad153_5T_1-index_31	95	0.00007%
Ad153_5T_1-index_36	95	0.00007%
Ad153_5T_1-index_10	93	0.00007%
Ad153_5T_1-index_104	90	0.00007%
Reverse_adapter	82	0.00006%
Ad153_5T_1-index_16	81	0.00006%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	77	0.00006%
Ad153_5T_1-index_22	74	0.00006%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	73	0.00005%
Ad153_5T_1-index_67	69	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	68	0.00005%
Ad153_5T_1-index_108	66	0.00005%
Ad153_5T_1-index_45	66	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	66	0.00005%
Ad153_5T_1-index_20	66	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	65	0.00005%
Ad153_5T_1-index_13	61	0.00005%
Ad153_5T_1-index_15	59	0.00004%
Ad153_5T_1-index_30	59	0.00004%
Ad153_5T_1-index_18	58	0.00004%
Ad153_5T_1-index_29	57	0.00004%
Ad153_5T_1-index_71	56	0.00004%
Ad153_5T_1-index_114	55	0.00004%
Ad153_5T_1-index_53	55	0.00004%
Ad153_5T_1-index_65	55	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	55	0.00004%
Ad153_5T_1-index_38	54	0.00004%
Ad153_5T_1-index_76	54	0.00004%
Ad153_Splint_oligo	54	0.00004%
Ad153_5T_1-index_27	53	0.00004%
Ad153_5T_1-index_97	53	0.00004%
Ad153_5T_1-index_105	51	0.00004%
Ad153_5T_1-index_99	51	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	51	0.00004%
Ad153_5T_1-index_73	49	0.00004%
Ad153_5T_1-index_74	47	0.00004%
Ad153_5T_1-index_120	46	0.00003%
TruSeq_Adapter_Index_16	46	0.00003%
Ad153_5T_1-index_80	45	0.00003%
RNA_PCR_Primer_Index_33_(RPI33)	44	0.00003%
Ad153_5T_1-index_122	43	0.00003%
Ad153_5T_1-index_7	43	0.00003%
Ad153_5T_1-index_49	42	0.00003%
Ad153_5T_1-index_52	42	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	42	0.00003%
Ad153_5T_1-index_5	41	0.00003%
TruSeq_Adapter_Index_27	41	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	40	0.00003%
Ad153_5T_1-index_116	39	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	39	0.00003%
Ad153_5T_1-index_55	38	0.00003%
Ad153_5T_1-index_92	37	0.00003%
Ad153_5T_1-index_39	36	0.00003%
Ad153_5T_1-index_59	36	0.00003%
Ad153_5T_1-index_61	36	0.00003%
Ad153_5T_1-index_64	36	0.00003%
Ad153_5T_1-index_66	36	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	36	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	36	0.00003%
Ad153_5T_1-index_32	35	0.00003%
Ad153_5T_1-index_84	35	0.00003%
Ad153_5T_1-index_8	52	0.00004%
Ad153_5T_1-index_109	34	0.00003%
Ad153_5T_1-index_17	34	0.00003%
Ad153_5T_1-index_25	34	0.00003%
Ad153_5T_1-index_56	34	0.00003%
Ad153_5T_1-index_62	34	0.00003%
RNA_PCR_Primer_Index_41_(RPI41)	34	0.00003%
Ad153_5T_1-index_28	33	0.00002%
Ad153_5T_1-index_42	33	0.00002%
Ad153_5T_1-index_87	33	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	33	0.00002%
Ad153_5T_1-index_112	32	0.00002%
Ad153_5T_1-index_123	32	0.00002%
Ad153_5T_1-index_57	32	0.00002%
Ad153_5T_1-index_110	31	0.00002%
Ad153_5T_1-index_14	31	0.00002%
Ad153_5T_1-index_48	31	0.00002%
Ad153_5T_1-index_115	32	0.00002%
Ad153_5T_1-index_101	30	0.00002%
Ad153_5T_1-index_50	30	0.00002%
Ad153_5T_1-index_6	30	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	30	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	30	0.00002%
Ad153_5T_1-index_12	29	0.00002%
Ad153_5T_1-index_40	29	0.00002%
Ad153_5T_1-index_41	29	0.00002%
Ad153_5T_1-index_91	29	0.00002%
Barcode_PE_sequencing_primer	28	0.00002%
I5_Nextera_Transposase_2	28	0.00002%
Ad153_5T_1-index_58	27	0.00002%
Ad153_5T_1-index_24	26	0.00002%
Ad153_5T_1-index_75	26	0.00002%
Ad153_5T_1-index_83	26	0.00002%
Ad153_5T_1-index_118	25	0.00002%
Ad153_5T_1-index_68	25	0.00002%
Ad153_5T_1-index_70	25	0.00002%
Ad153_5T_1-index_72	25	0.00002%
Ad153_5T_1-index_79	25	0.00002%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	25	0.00002%
Read_1_sequencing_primer	25	0.00002%
Ad153_5T_1-index_103	24	0.00002%
Ad153_5T_1-index_51	24	0.00002%
TruSeq_Adapter_Index_3	24	0.00002%
Ad153_5T_1-index_54	23	0.00002%
Ad153_5T_1-index_9	23	0.00002%
Ad153_5T_1-index_90	23	0.00002%
Ad153_5T_1-index_98	23	0.00002%
TruSeq_Adapter_Index_7	23	0.00002%
Ad153_5T_1-index_107	22	0.00002%
Ad153_5T_1-index_119	22	0.00002%
Ad153_5T_1-index_86	22	0.00002%
Ad153_5T_1-index_96	22	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	22	0.00002%
