#File	../fastq/SRR23971461_1.fastq.gz
#Total	286664351
#Matched	68952606	24.05343%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	65064318	22.69704%
Barcode_SE_sequencing_primer	1364045	0.47583%
Ad153Ω_Bottom_2	734556	0.25624%
Ad153_5T_1-index_3	519852	0.18135%
Ad153_5T_1-index_7	429072	0.14968%
Ad153_5T_1-index_4	273699	0.09548%
Ad153_5T_1-index_39	72408	0.02526%
Ad153_5T_1-index_21	71320	0.02488%
Ad153_5T_1-index_13	56347	0.01966%
Ad153_5T_1-index_29	37635	0.01313%
Ad153_5T_1-index_34	35022	0.01222%
Ad153_5T_1-index_2	31279	0.01091%
Ad153_5T_1-index_10	28600	0.00998%
Ad153_5T_1-index_48	26543	0.00926%
Ad153_5T_1-index_8	14809	0.00517%
Ad153_5T_1-index_18	13623	0.00475%
Ad153_Splint_oligo	13492	0.00471%
Ad153_5T_1-index_20	11359	0.00396%
Ad153_5T_1-index_11	11318	0.00395%
Ad153_5T_1-index_5	8643	0.00302%
Barcode_PE_sequencing_primer	8403	0.00293%
Ad153_5T_1-index_17	8225	0.00287%
Ad153_5T_1-index_16	7546	0.00263%
Ad153_5T_1-index_15	7282	0.00254%
Ad153_5T_1-index_26	6994	0.00244%
Ad153_5T_1-index_31	6933	0.00242%
Ad153_5T_1-index_22	5985	0.00209%
Ad153_5T_1-index_32	5565	0.00194%
Ad153_5T_1-index_35	5071	0.00177%
Read_1_sequencing_primer	4837	0.00169%
Ad153_5T_1-index_12	4825	0.00168%
Ad153_5T_1-index_49	3672	0.00128%
Ad153_5T_1-index_14	3544	0.00124%
Ad153_5T_1-index_30	3175	0.00111%
Ad153_5T_1-index_6	3128	0.00109%
Ad153_5T_1-index_28	2920	0.00102%
Ad153_5T_1-index_25	2854	0.00100%
Ad153_5T_1-index_38	2827	0.00099%
Ad153_5T_1-index_19	2818	0.00098%
Ad153_5T_1-index_36	2501	0.00087%
Ad153_5T_1-index_98	2480	0.00087%
Ad153_5T_1-index_33	2385	0.00083%
Ad153_5T_1-index_62	2144	0.00075%
Ad153_5T_1-index_37	1764	0.00062%
Ad153_5T_1-index_52	1537	0.00054%
Ad153_5T_1-index_54	1093	0.00038%
Ad153_5T_1-index_41	958	0.00033%
Ad153_5T_1-index_97	840	0.00029%
Ad153_5T_1-index_71	669	0.00023%
Ad153_5T_1-index_61	648	0.00023%
Ad153_5T_1-index_50	637	0.00022%
Ad153_5T_1-index_64	630	0.00022%
Ad153_5T_1-index_65	623	0.00022%
Ad153_5T_1-index_81	601	0.00021%
Ad153_5T_1-index_79	593	0.00021%
Ad153_5T_1-index_88	578	0.00020%
Ad153_5T_1-index_72	532	0.00019%
Ad153_5T_1-index_44	526	0.00018%
Ad153_5T_1-index_75	519	0.00018%
Ad153_5T_1-index_110	430	0.00015%
Ad153_5T_1-index_105	428	0.00015%
Ad153_5T_1-index_76	388	0.00014%
Ad153_5T_1-index_45	334	0.00012%
Ad153_5T_1-index_96	329	0.00011%
Ad153_5T_1-index_116	323	0.00011%
Ad153_5T_1-index_63	316	0.00011%
Ad153_5T_1-index_87	309	0.00011%
Ad153_5T_1-index_42	302	0.00011%
Ad153_5T_1-index_68	303	0.00011%
Ad153_5T_1-index_56	294	0.00010%
Ad153_5T_1-index_53	294	0.00010%
Ad153_5T_1-index_47	291	0.00010%
Ad153_5T_1-index_27	283	0.00010%
Ad153_5T_1-index_23	286	0.00010%
Ad153_5T_1-index_109	270	0.00009%
Ad153_5T_1-index_91	269	0.00009%
Ad153_5T_1-index_84	261	0.00009%
Ad153_5T_1-index_67	248	0.00009%
Ad153_5T_1-index_69	242	0.00008%
Ad153_5T_1-index_92	241	0.00008%
Ad153_5T_1-index_60	234	0.00008%
Ad153_5T_1-index_104	235	0.00008%
Ad153_5T_1-index_77	218	0.00008%
Ad153_5T_1-index_83	194	0.00007%
Ad153_5T_1-index_57	193	0.00007%
Ad153_5T_1-index_40	192	0.00007%
Ad153_5T_1-index_51	177	0.00006%
Ad153_5T_1-index_113	175	0.00006%
Ad153_5T_1-index_78	167	0.00006%
Ad153_5T_1-index_114	160	0.00006%
Ad153_5T_1-index_59	159	0.00006%
Ad153_5T_1-index_24	160	0.00006%
Ad153_5T_1-index_123	157	0.00005%
Ad153_5T_1-index_95	152	0.00005%
Ad153_5T_1-index_82	140	0.00005%
Ad153_5T_1-index_90	139	0.00005%
Ad153_5T_1-index_115	138	0.00005%
Ad153_5T_1-index_111	135	0.00005%
Ad153_5T_1-index_102	134	0.00005%
TruSeq_Universal_Adapter	133	0.00005%
Ad153_5T_1-index_80	129	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	129	0.00005%
Ad153_5T_1-index_128	126	0.00004%
Ad153_5T_1-index_66	125	0.00004%
Ad153_5T_1-index_73	120	0.00004%
Ad153_5T_1-index_121	119	0.00004%
Ad153_5T_1-index_99	117	0.00004%
Ad153_5T_1-index_119	116	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	116	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	115	0.00004%
Ad153_5T_1-index_125	115	0.00004%
Ad153_5T_1-index_58	110	0.00004%
Ad153_5T_1-index_74	109	0.00004%
pcr_dimer	107	0.00004%
Ad153_5T_1-index_55	105	0.00004%
Ad153_5T_1-index_86	102	0.00004%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	101	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	96	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	92	0.00003%
Ad153_5T_1-index_108	90	0.00003%
Ad153_5T_1-index_118	87	0.00003%
