#File	../fastq/SRR23971512_1.fastq.gz	../fastq/SRR23971512_2.fastq.gz
#Total	231951500
#Matched	20470074	8.82515%
#Name	Reads	ReadsPct
Ad153_5T_1-index_8	6831697	2.94531%
Ad153Ω_Bottom_2	5842045	2.51865%
Barcode_SE_sequencing_primer	5569298	2.40106%
Ad153_5T_1-index_1	999437	0.43088%
Ad153_5T_1-index_22	641936	0.27675%
Ad153_5T_1-index_11	156588	0.06751%
Ad153_5T_1-index_10	100664	0.04340%
Barcode_PE_sequencing_primer	64024	0.02760%
Ad153_5T_1-index_4	61455	0.02649%
Ad153_5T_1-index_3	37124	0.01601%
Read_1_sequencing_primer	34169	0.01473%
Ad153_5T_1-index_25	20303	0.00875%
Ad153_Splint_oligo	22628	0.00976%
Ad153_5T_1-index_2	12323	0.00531%
Ad153_5T_1-index_7	10209	0.00440%
Ad153_5T_1-index_6	9526	0.00411%
Ad153_5T_1-index_88	6333	0.00273%
Ad153_5T_1-index_12	5275	0.00227%
Ad153_5T_1-index_67	5235	0.00226%
Ad153_5T_1-index_5	3526	0.00152%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	2833	0.00122%
Ad153_5T_1-index_105	2156	0.00093%
Ad153_5T_1-index_18	1514	0.00065%
Ad153_5T_1-index_34	1245	0.00054%
Ad153_5T_1-index_20	1224	0.00053%
Ad153_5T_1-index_31	1152	0.00050%
Ad153_5T_1-index_101	1095	0.00047%
Ad153_5T_1-index_21	1075	0.00046%
Ad153_5T_1-index_33	1263	0.00054%
Ad153_5T_1-index_53	1039	0.00045%
Ad153_5T_1-index_114	1021	0.00044%
Ad153_5T_1-index_45	781	0.00034%
Ad153_5T_1-index_92	858	0.00037%
TruSeq_Adapter_Index_22	648	0.00028%
Ad153_5T_1-index_97	654	0.00028%
Ad153_5T_1-index_63	632	0.00027%
Ad153_5T_1-index_26	596	0.00026%
Ad153_5T_1-index_14	593	0.00026%
Ad153_5T_1-index_19	508	0.00022%
Ad153_5T_1-index_29	507	0.00022%
Ad153_5T_1-index_80	446	0.00019%
Ad153_5T_1-index_42	417	0.00018%
RNA_PCR_Primer_Index_24_(RPI24)	390	0.00017%
Ad153_5T_1-index_15	377	0.00016%
Ad153_5T_1-index_68	468	0.00020%
Ad153_5T_1-index_104	349	0.00015%
Ad153_5T_1-index_78	340	0.00015%
Ad153_5T_1-index_44	320	0.00014%
Ad153_5T_1-index_65	307	0.00013%
Ad153_5T_1-index_62	303	0.00013%
Ad153_5T_1-index_59	295	0.00013%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N712	291	0.00013%
Ad153_5T_1-index_51	267	0.00012%
Ad153_5T_1-index_57	297	0.00013%
