#File	../fastq/SRR23971464_1.fastq.gz
#Total	117079835
#Matched	16466438	14.06428%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	13861885	11.83969%
Ad153_5T_1-index_18	1567228	1.33860%
Ad153_5T_1-index_16	375307	0.32056%
Ad153_5T_1-index_2	256600	0.21917%
Barcode_SE_sequencing_primer	316813	0.27060%
Ad153Ω_Bottom_2	31987	0.02732%
I5_Nextera_Transposase_1	28850	0.02464%
Ad153_5T_1-index_31	7798	0.00666%
Ad153_5T_1-index_71	4579	0.00391%
Ad153_5T_1-index_10	2559	0.00219%
Ad153_5T_1-index_17	1833	0.00157%
Barcode_PE_sequencing_primer	1021	0.00087%
Ad153_5T_1-index_4	885	0.00076%
Ad153_5T_1-index_60	859	0.00073%
Ad153_5T_1-index_39	841	0.00072%
Ad153_5T_1-index_29	443	0.00038%
Ad153_5T_1-index_42	365	0.00031%
Ad153_5T_1-index_11	334	0.00029%
Ad153_5T_1-index_3	340	0.00029%
Ad153_5T_1-index_84	292	0.00025%
Ad153_5T_1-index_48	193	0.00016%
Ad153_5T_1-index_79	183	0.00016%
Ad153_5T_1-index_104	165	0.00014%
Ad153_5T_1-index_6	163	0.00014%
Ad153_5T_1-index_67	252	0.00022%
TruSeq_Universal_Adapter	139	0.00012%
Ad153_5T_1-index_7	122	0.00010%
Ad153_5T_1-index_110	119	0.00010%
Ad153_Splint_oligo	115	0.00010%
Ad153_5T_1-index_33	105	0.00009%
Ad153_5T_1-index_26	85	0.00007%
pcr_dimer	83	0.00007%
Ad153_5T_1-index_35	82	0.00007%
Ad153_5T_1-index_49	82	0.00007%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	79	0.00007%
Ad153_5T_1-index_124	73	0.00006%
Ad153_5T_1-index_61	61	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	56	0.00005%
Ad153_5T_1-index_102	54	0.00005%
Ad153_5T_1-index_58	54	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	52	0.00004%
Reverse_adapter	51	0.00004%
Ad153_5T_1-index_75	49	0.00004%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	48	0.00004%
Ad153_5T_1-index_8	46	0.00004%
Ad153_5T_1-index_40	45	0.00004%
Ad153_5T_1-index_107	44	0.00004%
Ad153_5T_1-index_45	43	0.00004%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N708	43	0.00004%
Ad153_5T_1-index_105	42	0.00004%
Ad153_5T_1-index_30	39	0.00003%
Ad153_5T_1-index_55	39	0.00003%
Ad153_5T_1-index_27	38	0.00003%
Read_1_sequencing_primer	36	0.00003%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	35	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	35	0.00003%
Ad153_5T_1-index_15	34	0.00003%
Ad153_5T_1-index_66	34	0.00003%
Ad153_5T_1-index_28	33	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	32	0.00003%
Ad153_5T_1-index_112	31	0.00003%
Ad153_5T_1-index_114	30	0.00003%
Ad153_5T_1-index_50	30	0.00003%
Ad153_5T_1-index_87	30	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	30	0.00003%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	29	0.00002%
Ad153_5T_1-index_32	28	0.00002%
Ad153_5T_1-index_47	28	0.00002%
Ad153_5T_1-index_122	27	0.00002%
Ad153_5T_1-index_97	27	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N710	27	0.00002%
TruSeq_Adapter_Index_16	27	0.00002%
Ad153_5T_1-index_96	27	0.00002%
Ad153_5T_1-index_25	26	0.00002%
Ad153_5T_1-index_56	26	0.00002%
Ad153_5T_1-index_64	26	0.00002%
Ad153_5T_1-index_73	26	0.00002%
Ad153_5T_1-index_80	26	0.00002%
Ad153_5T_1-index_14	25	0.00002%
Ad153_5T_1-index_83	25	0.00002%
RNA_PCR_Primer_Index_30_(RPI30)	25	0.00002%
RNA_PCR_Primer_Index_33_(RPI33)	25	0.00002%
Ad153_5T_1-index_22	25	0.00002%
Ad153_5T_1-index_54	24	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	24	0.00002%
