Species	Common name	Class	Date	Spearman correlation (total reads)	P-value (total reads)	Spearman correlation (mapped reads)	P-value (mapped reads)	Positive samples	Read count	Category	boot_95_min	boot_mean	boot_95_max	Adjusted P-value (total reads)	Adjusted P-value (mapped reads)
Naja atra	Chinese cobra	Lepidosauria	12-Jan-2020	0.1010959756377569	0.4049934550507957	0.106375361183801	0.3807770119636263	24	4270	Observed Xiao 2021	-0.1596521328564877	0.1022481164144347	0.368418299145259		
Carassius auratus	goldfish	Actinopteri	12-Jan-2020	0.1568826397776096	0.1946351507869871	0.1438053543608063	0.234958269024732	4	68	Aquatic animals	-0.0881974605620755	0.1632354212669177	0.5816075792932514		
Lepidoglyphus destructor	storage mite	Arachnida	12-Jan-2020	0.1890966820644431	0.1169299940905959	0.1961262984980655	0.1036923522762008	15	2745	Other	-0.0839484257789282	0.1800294573981851	0.4553133326977948		
Andrias davidianus	Chinese giant salamander	Amphibia	12-Jan-2020	0.2158939975156084	0.072652305025995	0.207414777069376	0.0849064313646118	8	14904	Other	-0.0993182684444526	0.2090134855341587	0.5543434231151907		
Blomia tropicalis	tropical mite	Arachnida	12-Jan-2020	-0.0752391763706492	0.5358900016170549	-0.0752391763706492	0.5358900016170549	4	1780	Other	-0.1192953350964247	-0.0706497872594542	-0.0296156177873583		
Ptyas dhumnades	Chinese ratsnake	Lepidosauria	12-Jan-2020	0.0852028141078619	0.4831163109444721	0.0700448804850985	0.5644841010439734	7	598	Observed Xiao 2021	-0.119250254069115	0.0834710611931773	0.4245422721017444		
Calliphora chinghaiensis	blowfly	Insecta	12-Jan-2020	-0.1017450339062202	0.4019686300738904	-0.1017450339062202	0.4019686300738904	7	416	Other	-0.1620789541923307	-0.0999338764629196	-0.0475233684474582		
Ctenocephalides felis	cat flea	Insecta	12-Jan-2020	-0.0847359586938137	0.4855258431978694	-0.0847359586938137	0.4855258431978694	5	1342	Other	-0.1384861145835753	-0.0823340556552313	-0.0362781868040946		
Accipiter gularis	Japanese sparrowhawk	Aves	12-Jan-2020	-0.0704059062463803	0.5624736997651345	-0.0668137681725854	0.5826256465248962	17	1146	Other	-0.1998736278102491	-0.0641979449501194	0.1335006314969899		
Tyrophagus putrescentiae	cheese mite	Arachnida	12-Jan-2020	0.0239701039537722	0.8438545102315584	0.0239701039537722	0.8438545102315584	8	927	Other	-0.1375031711538819	0.0211940605902194	0.2946948607503102		
Uranoscopus tosae	stargazer fish	Actinopteri	12-Jan-2020	-0.1450202476964679	0.2309855557660496	-0.1450202476964679	0.2309855557660496	13	1104	Aquatic animals	-0.2151954940991597	-0.1398182021125953	-0.0737013695761553		
Clogmia albipunctata	mothmidge	Insecta	12-Jan-2020	-0.1095776180743873	0.3665216924799036	-0.1095776180743873	0.3665216924799036	8	649	Other	-0.1700261372812693	-0.1062358489026749	-0.0524406474224087		
Periplaneta americana	American cockroach	Insecta	12-Jan-2020	-0.0847359586938137	0.4855258431978694	-0.0847359586938137	0.4855258431978694	5	261	Other	-0.1372764217259335	-0.0821777213100351	-0.0368008476672232		
Aix galericulata	mandarin duck	Aves	12-Jan-2020	-0.064687546588948	0.5947068457341476	-0.064687546588948	0.5947068457341476	3	123	Other	-0.1171546311740595	-0.0627628417774789	-0.0294055870615416		
