analysis,tMRCA
all_Lv_unconstrained,2019.9466901619876
all_Lv_unconstrained,2019.9543218189256
all_Lv_unconstrained,2019.9279371203463
all_Lv_unconstrained,2019.947687082539
all_Lv_unconstrained,2019.9570195832605
all_Lv_unconstrained,2019.947645887237
all_Lv_unconstrained,2019.958785906436
all_Lv_unconstrained,2019.952190723036
all_Lv_unconstrained,2019.9475605667951
all_Lv_unconstrained,2019.9492463357835
all_Lv_unconstrained,2019.928197901399
all_Lv_unconstrained,2019.951704079292
all_Lv_unconstrained,2019.933678444401
all_Lv_unconstrained,2019.9542667979488
all_Lv_unconstrained,2019.948833734493
all_Lv_unconstrained,2019.865721005999
all_Lv_unconstrained,2019.9503858793173
all_Lv_unconstrained,2019.9545913833736
all_Lv_unconstrained,2019.928055548041
all_Lv_unconstrained,2019.952932447083
all_Lv_unconstrained,2019.9158840381583
all_Lv_unconstrained,2019.9567830282888
all_Lv_unconstrained,2019.9490397020693
all_Lv_unconstrained,2019.956340502689
all_Lv_unconstrained,2019.9219278142689
all_Lv_unconstrained,2019.931602180141
all_Lv_unconstrained,2019.9473145450904
all_Lv_unconstrained,2019.9522316202665
all_Lv_unconstrained,2019.927516311684
all_Lv_unconstrained,2019.9325750470389
all_Lv_unconstrained,2019.926487987561
all_Lv_unconstrained,2019.9551242999123
all_Lv_unconstrained,2019.9488433114996
all_Lv_unconstrained,2019.8892423661875
all_Lv_unconstrained,2019.9080122960293
all_Lv_unconstrained,2019.947471576636
all_Lv_unconstrained,2019.946676826344
all_Lv_unconstrained,2019.9506000483225
all_Lv_unconstrained,2019.9083235948176
all_Lv_unconstrained,2019.9457910463389
all_Lv_unconstrained,2019.9476808611923
all_Lv_unconstrained,2019.9475878790925
all_Lv_unconstrained,2019.9451740110417
all_Lv_unconstrained,2019.9245597028448
all_Lv_unconstrained,2019.951530769374
all_Lv_unconstrained,2019.9462768026435
all_Lv_unconstrained,2019.9472860894848
all_Lv_unconstrained,2019.95192953422
all_Lv_unconstrained,2019.955614707614
all_Lv_unconstrained,2019.944419925378
all_Lv_unconstrained,2019.928182443983
all_Lv_unconstrained,2019.9473660689057
all_Lv_unconstrained,2019.948879724332
all_Lv_unconstrained,2019.908947726475
all_Lv_unconstrained,2019.924744142032
all_Lv_unconstrained,2019.9221967676392
all_Lv_unconstrained,2019.94743069759
all_Lv_unconstrained,2019.9476331948235
all_Lv_unconstrained,2019.9015035865395
all_Lv_unconstrained,2019.8978157568156
all_Lv_unconstrained,2019.8555491382333
all_Lv_unconstrained,2019.9151329825747
all_Lv_unconstrained,2019.908451166236
all_Lv_unconstrained,2019.8777639701648
all_Lv_unconstrained,2019.9320757914704
all_Lv_unconstrained,2019.9332862312265
all_Lv_unconstrained,2019.9072064058105
all_Lv_unconstrained,2019.8144814586856
all_Lv_unconstrained,2019.9072292802068
all_Lv_unconstrained,2019.9271699261255
all_Lv_unconstrained,2019.8200235690813
all_Lv_unconstrained,2019.8809206207493
all_Lv_unconstrained,2019.9421187134235
all_Lv_unconstrained,2019.9287790985693
all_Lv_unconstrained,2019.9354471318509
