Virus_full_name,Virus_short,Virus_shorter
"NC_055886.1 CrAssphage cr127_1, complete genome",CrAssphage cr127_1,CrAssphage cr127_1
"NC_055887.1 CrAssphage cr271_1, complete genome",CrAssphage cr271_1,CrAssphage cr271_1
"NC_055888.1 CrAssphage cr52_1, complete genome",CrAssphage cr52_1,CrAssphage cr52_1
"NC_055889.1 CrAssphage cr53_1, complete genome",CrAssphage cr53_1,CrAssphage cr53_1
"NC_055890.1 CrAssphage cr56_1, complete genome",CrAssphage cr56_1,CrAssphage cr56_1
"NC_055891.1 CrAssphage cr60_1, complete genome",CrAssphage cr60_1,CrAssphage cr60_1
"NC_055893.1 CrAssphage cr4_1, complete genome",CrAssphage cr4_1,CrAssphage cr4_1
"NC_055897.1 CrAssphage cr114_1, complete genome",CrAssphage cr114_1,CrAssphage cr114_1
"NC_055898.1 CrAssphage cr115_1, complete genome",CrAssphage cr115_1,CrAssphage cr115_1
"NC_055901.1 CrAssphage cr130_1, complete genome",CrAssphage cr130_1,CrAssphage cr130_1
"NC_055902.1 CrAssphage cr131_1, complete genome",CrAssphage cr131_1,CrAssphage cr131_1
"NC_055903.1 CrAssphage cr272_1, complete genome",CrAssphage cr272_1,CrAssphage cr272_1
"NC_001801.1 Cucumber green mottle mosaic virus, complete genome",Cucumber green mottle mosaic virus,Cucumber green mottle mosaic virus
"NC_003630.1 Pepper mild mottle virus, complete genome",Pepper mild mottle virus,Pepper mild mottle virus
"NC_003494.1 Infectious spleen and kidney necrosis virus, complete genome",Infectious spleen and kidney necrosis virus,Infectious spleen and kidney necrosis virus
"NC_017940.1 European sheatfish virus, complete genome",European sheatfish virus,European sheatfish virus
"NC_008514.1 Siniperca chuatsi rhabdovirus, complete genome",Siniperca chuatsi rhabdovirus,Siniperca chuatsi rhabdovirus
"NC_026812.1 Chinook salmon bafinivirus isolate NIDO, complete genome",Chinook salmon bafinivirus isolate NIDO,Chinook salmon bafinivirus
"AC_000017.1 Human adenovirus type 1, complete genome",Human adenovirus type 1,Human adenovirus type 1
"AC_000018.1 Human adenovirus type 7, complete genome",Human adenovirus type 7,Human adenovirus type 7
"NC_000898.1 Human herpesvirus 6B, complete genome",Human herpesvirus 6B,Human herpesvirus 6B
"NC_001348.1 Human herpesvirus 3, complete genome",Human herpesvirus 3,Human herpesvirus 3
"NC_001354.1 Human papillomavirus type 41, complete genome",Human papillomavirus type 41,Human papillomavirus type 41
"NC_001356.1 Human papillomavirus - 1, complete genome",Human papillomavirus - 1,Human papillomavirus 1
"NC_001357.1 Human papillomavirus - 18, complete genome",Human papillomavirus – 18,Human papillomavirus 18
"NC_001454.1 Human adenovirus F, complete genome",Human adenovirus F,Human adenovirus F
"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41
"NC_001526.4 Human papillomavirus type 16, complete genome",Human papillomavirus type 16,Human papillomavirus type 16
"NC_001531.1 Human papillomoavirus type 5, complete genome",Human papillomoavirus type 5,Human papillomoavirus type 5
"NC_001591.1 Human papillomavirus type 49, complete genome",Human papillomavirus type 49,Human papillomavirus type 49
"NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102","Human betaherpesvirus 6A, variant A DNA",Human betaherpesvirus 6A
"NC_001716.2 Human herpesvirus 7, complete genome",Human herpesvirus 7,Human herpesvirus 7
"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1 strain 17,Human herpesvirus 1
"NC_001829.1 Adeno-associated virus - 4, complete genome",Adeno-associated virus 4,Adeno-associated virus 4
"NC_006152.1 Adeno-associated virus 5, complete genome",Adeno-associated virus 5,Adeno-associated virus 5
"NC_006273.2 Human herpesvirus 5 strain Merlin, complete genome",Human herpesvirus 5 strain Merlin,Human herpesvirus 5
"NC_009333.1 Human herpesvirus 8 strain GK18, complete genome",Human herpesvirus 8 strain GK18,Human herpesvirus 8
"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4
"NC_010329.1 Human papillomavirus type 88, complete genome",Human papillomavirus type 88,Human papillomavirus type 88
"NC_012485.1 Human papillomavirus type 109, complete genome",Human papillomavirus type 109,Human papillomavirus type 109
"NC_014406.1 Human polyomavirus 6, complete genome",Human polyomavirus 6,Human polyomavirus 6
"NC_014956.1 Human papillomavirus type 134, complete genome",Human papillomavirus type 134,Human papillomavirus type 134
"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV
"NC_026946.1 Human papillomavirus KC5, complete genome",Human papillomavirus KC5,Human papillomavirus KC5
"NC_038525.1 Human papillomavirus type 204 isolate A342, complete genome",Human papillomavirus type 204 isolate A342,Human papillomavirus type 204
"NC_040671.1 Adeno-associated virus isolate MHH-05-2015, complete genome",Adeno-associated virus isolate MHH-05-2015,Adeno-associated virus
"NC_001781.1 Human orthopneumovirus Subgroup B, complete genome",Human orthopneumovirus Subgroup B,Human orthopneumovirus B
"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus
"NC_002645.1 Human coronavirus 229E, complete genome",Human coronavirus 229E,Human coronavirus 229E
"NC_004905.2 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence",NA,NA
"NC_004908.1 Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",NA,NA
"NC_007358.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",NA,NA
"NC_007373.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence",NA,NA
"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds",NA,NA
"NC_026423.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",NA,NA
"NC_026424.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",NA,NA
"NC_026426.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds",NA,NA
"NC_039475.1 Norovirus GII.17, complete genome",Norovirus GII.17,Norovirus GII.17
"NC_039477.1 Norovirus GII, complete genome",Norovirus GII,Norovirus GII
"NC_045762.1 Norovirus GIV genotype GIV.2 nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds",Norovirus GIV genotype GIV.2,Norovirus GIV genotype GIV.2
"NC_004905.2 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence",Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5,Influenza A virus H9N2 segment 5
"NC_004908.1 Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",Influenza A virus strain A/Hong Kong/1073/99(H9N2),Influenza A virus H9N2 (HA)
"NC_007358.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),Influenza A virus H5N1
"NC_007373.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence",Influenza A virus (A/New York/392/2004(H3N2)),Influenza A virus H3N2
"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds",Influenza A virus (A/Shanghai/02/2013(H7N9)),"Influenza A virus H7N9, segment 1"
"NC_026423.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",Influenza A virus (A/Shanghai/02/2013(H7N9)),"Influenza A virus H7N9, segment 2"
"NC_026424.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",Influenza A virus (A/Shanghai/02/2013(H7N9)),"Influenza A virus H7N9, segment 3"
