Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM
1-27-40,Env_0665,,2020-01-27,West,10,31,,West|10|31,West|10|31_drain,West|10|29-31,Water drain,Water drain,Negative,1,TRUE
1-27-41,Env_0666,,2020-01-27,West,11,2,,West|11|2,West|11|2_drain,West|11|2,Water drain,Water drain,Negative,1,TRUE
1-27-43,Env_0667,,2020-01-27,West,11,32,,West|11|32,West|11|32_drain,West|11|32,Water drain,Water drain,Negative,1,TRUE
1-27-44,Env_0668,,2020-01-27,West,12,35,,West|12|35,West|12|35_drain,West|12|35,Water drain,Water drain,Negative,1,TRUE
1-27-45,Env_0669,,2020-01-27,West,12,19,,West|12|19,West|12|19_drain,West|12|19,Water drain,Water drain,Negative,1,TRUE
1-27-48,Env_0670,,2020-01-27,West,12,36-38,,West|12|36-38,West|12|36-38_drain,West|12|36-38,Water drain,Water drain,Negative,1,TRUE
1-27-49,Env_0671,,2020-01-27,West,13,7-8,,West|13|7-8,West|13|7-8_drain,West|13|7-8,Water drain,Water drain,Negative,1,TRUE
1-27-50,Env_0672,,2020-01-27,West,15,9-11,,West|15|9-11,West|15|9-11_drain,West|15|9-11,Water drain,Water drain,Negative,1,TRUE
1-27-51,Env_0673,,2020-01-27,West,15,20,,West|15|20,West|15|20_drain,West|15|20,Water drain,Water drain,Negative,1,TRUE
1-27-52,Env_0674,SRR23971434,2020-01-27,West,15,22,,West|15|22,West|15|22_drain,West|15|22,Water drain,Water drain,Negative,1,TRUE
1-27-53,Env_0675,,2020-01-27,West,9,9-13,,West|9|9-13,West|9|9-13_drain,West|9|9-13,Water drain,Water drain,Negative,1,TRUE
1-27-54,Env_0676,,2020-01-27,West,11,6,,West|11|6,West|11|6_drain,West|11|6,Water drain,Water drain,Negative,1,TRUE
1-27-55,Env_0704,,2020-01-29,East,13,18-20,As far as I know there is no Street 13 and I cannot place this sample on the map.,East|13|18-20,East|13|18-20_drain,East|13|18-20,Water drain,Water drain,Negative,1,TRUE
1-27-56,Env_0677,,2020-01-27,West,13,40-42,,West|13|40-42,West|13|40-42_drain,West|13|40-42,Water drain,Water drain,Negative,1,TRUE
1-27-57,Env_0678,,2020-01-27,West,14,41,,West|14|41,West|14|41_drain,West|14|41,Water drain,Water drain,Negative,1,TRUE
1-27-9,Env_0641,,2020-01-27,West,3,4,,West|3|4,West|3|4_drain,West|3|4,Water drain,Water drain,Negative,1,TRUE
1-29-1,Env_0679,,2020-01-29,East,2,5-7-9,,East|2|5-7-9,East|2|5-7-9_drain,East|2|5-7-9,Water drain,Water drain,Negative,1,TRUE
1-29-10,Env_0688,,2020-01-29,East,6,17-19,,East|6|17-19,East|6|17-19_drain,East|6|17-19,Water drain,Water drain,Negative,1,TRUE
1-29-11,Env_0689,,2020-01-29,East,7,30,,East|7|30,East|7|30_drain,East|7|30,Water drain,Water drain,Negative,1,TRUE
1-29-12,Env_0690,,2020-01-29,East,7,8,,East|7|8,East|7|8_drain,East|7|8,Water drain,Water drain,Negative,1,TRUE
1-29-13,Env_0691,,2020-01-29,East,8,38,,East|8|38,East|8|38_drain,East|8|38,Water drain,Water drain,Negative,1,TRUE
1-29-14,Env_0692,,2020-01-29,East,8,12,,East|8|12,East|8|12_drain,East|8|12,Water drain,Water drain,Negative,1,TRUE
1-29-16,Env_0694,,2020-01-29,East,11,13,,East|11|13,East|11|13_drain,East|11|7-13,Water drain,Water drain,Negative,1,TRUE
1-29-17,Env_0695,,2020-01-29,East,9,51,,East|9|51,East|9|51_drain,East|9|51,Water drain,Water drain,Negative,1,TRUE
1-29-18,Env_0696,,2020-01-29,East,9,11,,East|9|11,East|9|11_drain,East|9|11,Water drain,Water drain,Negative,1,TRUE
1-29-19,Env_0697,SRR23971435,2020-01-29,East,9,35,,East|9|35,East|9|35_drain,East|9|35,Water drain,Water drain,Negative,1,TRUE
1-29-2,Env_0680,,2020-01-29,East,2,50-52,,East|2|50-52,East|2|50-52_drain,East|2|50-52,Water drain,Water drain,Negative,1,TRUE
1-29-20,Env_0698,,2020-01-29,East,10,5,,East|10|5,East|10|5_drain,East|10|5,Water drain,Water drain,Negative,1,TRUE
1-29-21,Env_0699,,2020-01-29,East,11,29,,East|11|29,East|11|29_drain,East|11|29,Water drain,Water drain,Negative,1,TRUE
1-29-22,Env_0700,,2020-01-29,East,11,13,,East|11|13,East|11|13,East|11|7-13,Environmental swab,Ground,Negative,1,TRUE
1-29-23,Env_0701,SRR23971543,2020-01-29,East,11,9,,East|11|9,East|11|9,East|11|9,Environmental swab,Ground,Negative,1,TRUE
1-29-24,Env_0702,,2020-01-29,East,11,7-13,,East|11|7-13,East|11|7-13_drain,East|11|7-13,Water drain,Water drain,Negative,1,TRUE
1-29-3,Env_0681,,2020-01-29,East,3,52,,East|3|52,East|3|52_drain,East|3|52,Water drain,Water drain,Negative,1,TRUE
1-29-4,Env_0682,SRR23971586,2020-01-29,East,4,5-7-9,,East|4|5-7-9,East|4|5-7-9_drain,East|4|5-7-9,Water drain,Water drain,Positive,1,TRUE
1-29-5,Env_0683,,2020-01-29,East,4,36,,East|4|36,East|4|36_drain,East|4|36,Water drain,Water drain,Negative,1,TRUE
1-29-6,Env_0684,,2020-01-29,East,4,16,,East|4|16,East|4|16_drain,East|4|16,Water drain,Water drain,Negative,1,TRUE
1-29-7,Env_0685,,2020-01-29,East,5,42,,East|5|42,East|5|42_drain,East|5|42,Water drain,Water drain,Negative,1,TRUE
1-29-8,Env_0686,SRR23971455,2020-01-29,East,5,11,,East|5|11,East|5|11_drain,East|5|11,Water drain,Water drain,Positive,1,TRUE
1-29-9,Env_0687,,2020-01-29,East,6,35,,East|6|35,East|6|35_drain,East|6|35,Water drain,Water drain,Negative,1,TRUE
10-23-abv1,Env_0623,,2020-01-23,West,10,23,,West|10|23,West|10|23,West|10|23,Environmental swab,Environmental swab,Negative,1,TRUE
10-29.31-dor,Env_0634,,2020-01-23,West,10,29-31,,West|10|29-31,West|10|29-31,West|10|29-31,Environmental swab,Surface of the door,Negative,1,TRUE
10-29.31-dor_2,Env_0640,,2020-01-25,West,10,29-31,,West|10|29-31,West|10|29-31,West|10|29-31,Environmental swab,Surface of the door,Negative,1,TRUE
10-31-abv2,Env_0619,SRR23971429,2020-01-23,West,10,31,,West|10|31,West|10|31,West|10|29-31,Environmental swab,Environmental swab,Negative,1,TRUE
10-31-In1,Env_0616,,2020-01-23,West,10,31,,West|10|31,West|10|31,West|10|29-31,Environmental swab,Environmental swab,Negative,1,TRUE
10-31-In2,Env_0617,SRR23971428,2020-01-23,West,10,31,,West|10|31,West|10|31,West|10|29-31,Environmental swab,Environmental swab,Negative,1,TRUE
10-31-In3,Env_0618,,2020-01-23,West,10,31,,West|10|31,West|10|31,West|10|29-31,Environmental swab,Environmental swab,Negative,1,TRUE
11-31-abv1,Env_0624,,2020-01-23,West,11,31,,West|11|31,West|11|31,West|11|31,Environmental swab,Environmental swab,Negative,1,TRUE
12-15.17-dor,Env_0628,,2020-01-23,West,12,15-17,,West|12|15-17,West|12|15-17,West|12|15-17,Environmental swab,Surface of the door,Negative,1,TRUE
12-20.24-dor,Env_0629,,2020-01-23,West,12,20-24,,West|12|20-24,West|12|20-24,West|12|20-24,Environmental swab,Surface of the door,Negative,1,TRUE
12-32-dor,Env_0637,,2020-01-23,West,12,32,,West|12|32,West|12|32,West|12|32,Environmental swab,Surface of the door,Negative,1,TRUE
2-20-dor,Env_0636,,2020-01-23,West,3,20,,West|3|20,West|3|20,West|3|20,Environmental swab,Surface of the door,Negative,1,TRUE
2-9.11.13-dor,Env_0630,,2020-01-23,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Surface of the door,Negative,1,TRUE
5-5.7-dor2,Env_0638,,2020-01-23,West,5,5-7,,West|5|5-7,West|5|5-7,West|5|5-7,Environmental swab,Surface of the door,Negative,1,TRUE
5-58-dor,Env_0633,,2020-01-23,West,5,28,,West|5|28,West|5|28,West|5|28,Environmental swab,Surface of the door,Negative,1,TRUE
5-7-dor,Env_0635,,2020-01-23,West,5,7,,West|5|7,West|5|7,West|5|5-7,Environmental swab,Surface of the door,Negative,1,TRUE
629-1-L1,Env_0875,SRR23971443,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-10-TAJ,Env_0884,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Feather removal machine,Negative,1,TRUE
629-11-L,Env_0885,SRR23971452,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-12-L,Env_0886,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-13-L,Env_0887,SRR23971489,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-14-L,Env_0888,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-2-L2,Env_0876,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-3-C,Env_0877,SRR23971444,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Cart,Negative,1,TRUE
629-4-L3,Env_0878,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-5-L4,Env_0879,SRR23971445,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-6-L5,Env_0880,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-7-L6,Env_0881,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-8-L7,Env_0882,SRR23971447,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-9-L8,Env_0883,,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
629-L-1,Env_0889,SRR23971500,2020-02-29,West,6,29,,West|6|29,West|6|29,West|6|29-31-33,Environmental swab,Container,Negative,1,TRUE
7-22.24-dor,Env_0631,,2020-01-23,West,7,22-24,,West|7|22-24,West|7|22-24,West|7|20-22-24,Environmental swab,Surface of the door,Negative,1,TRUE
7-23-dor,Env_0632,,2020-01-23,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Surface of the door,Negative,1,TRUE
7-26-BX,Env_0705,SRR23971544,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Inner surface of refrigerator,Negative,1,TRUE
7-26-DB,Env_0711,,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Ground,Negative,1,TRUE
7-26-DH,Env_0712,SRR23971548,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Ground,Negative,1,TRUE
7-26-JZ,Env_0710,,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Scissors,Negative,1,TRUE
7-26-K,Env_0706,,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Basket,Negative,1,TRUE
7-26-PSN,Env_0708,SRR23971547,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Drainage outlet,Negative,1,TRUE
7-26-PSW,Env_0707,SRR23971546,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Drainage outlet,Negative,1,TRUE
7-26-ST,Env_0709,,2020-02-03,West,7,26,,West|7|26,West|7|26,West|7|26-28,Environmental swab,Glove,Negative,1,TRUE
8-25-Bing,Env_0757,,2020-02-09,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Inner surface of refrigerator,Negative,1,TRUE
8-25-BX,Env_0714,SRR23971549,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Inner surface of refrigerator,Negative,1,TRUE
8-25-CK,Env_0716,SRR23971551,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Sewage,Negative,1,TRUE
8-25-D,Env_0717,SRR23971587,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground inside the stalls,Positive,1,TRUE
8-25-D_2,Env_0715,SRR23971550,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Knief,Negative,1,TRUE
8-25-D1,Env_0753,SRR23971555,2020-02-09,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground,Negative,1,TRUE
8-25-D2,Env_0754,SRR23971557,2020-02-09,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground,Negative,1,TRUE
8-25-D3,Env_0755,,2020-02-09,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground,Negative,1,TRUE
8-25-DZ,Env_0718,,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Surface of packing bag,Negative,1,TRUE
8-25-LJ,Env_0713,,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Container,Negative,1,TRUE
8-25-Long,Env_0756,SRR23971558,2020-02-09,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Container,Negative,1,TRUE
8-25-M1,Env_0719,SRR23971456,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground inside the stalls,Positive,1,TRUE
8-25-M2,Env_0720,SRR23971552,2020-02-03,West,8,25,,West|8|25,West|8|25,West|8|25,Environmental swab,Ground,Negative,1,TRUE
9-35-2-floor,Env_0857,,2020-02-20,West,9,35,,West|9|35,West|9|35,West|9|35-37,Environmental swab,Ground,Negative,1,TRUE
9-35-3-freezer,Env_0852,,2020-02-20,West,9,34,,West|9|34,West|9|34,West|9|34-36,Environmental swab,Inner surface of refrigerator,Negative,1,TRUE
A1,Env_0001,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Surface of the door,Negative,1,TRUE
A10,Env_0010,,2020-01-01,West,4,20,,West|4|20,West|4|20,West|4|20,Environmental swab,Surface of the door,Negative,1,TRUE
A100,Env_0100,,2020-01-01,West,4,21,,West|4|21,West|4|21,West|4|21,Environmental swab,Ground,Negative,1,TRUE
A101,Env_0101,SRR23971502,2020-01-01,West,4,19,,West|4|19,West|4|19,West|4|19,Environmental swab,Surface of the door,Positive,1,TRUE
A102,Env_0102,,2020-01-01,West,4,19,,West|4|19,West|4|19,West|4|19,Environmental swab,Ground,Negative,1,TRUE
A103,Env_0103,,2020-01-01,West,4,15-17,,West|4|15-17,West|4|15-17,West|4|15-17,Environmental swab,Water in fishbowl,Negative,1,TRUE
A104,Env_0104,,2020-01-01,West,4,15-17,,West|4|15-17,West|4|15-17,West|4|15-17,Environmental swab,Cashier,Negative,1,TRUE
A105,Env_0105,,2020-01-01,West,4,15-17,,West|4|15-17,West|4|15-17,West|4|15-17,Environmental swab,Basket,Negative,1,TRUE
A106,Env_0106,,2020-01-01,West,4,15-17,,West|4|15-17,West|4|15-17,West|4|15-17,Environmental swab,Ground,Negative,1,TRUE
A107,Env_0107,,2020-01-01,West,4,15-17,,West|4|15-17,West|4|15-17,West|4|15-17,Environmental swab,Surface of the door,Negative,1,TRUE
A108,Env_0108,,2020-01-01,West,4,16-18,,West|4|16-18,West|4|16-18,West|4|16-18,Environmental swab,Surface of the door,Negative,1,TRUE
A109,Env_0109,,2020-01-01,West,4,16-18,,West|4|16-18,West|4|16-18,West|4|16-18,Environmental swab,Ground,Negative,1,TRUE
A11,Env_0011,,2020-01-01,West,4,26,,West|4|26,West|4|26,West|4|26,Environmental swab,Water in fishbowl,Negative,1,TRUE
A110,Env_0110,,2020-01-01,West,4,11-13,,West|4|11-13,West|4|11-13,West|4|11-13,Environmental swab,Surface of the door,Negative,1,TRUE
A111,Env_0111,,2020-01-01,West,4,11-13,,West|4|11-13,West|4|11-13,West|4|11-13,Environmental swab,Ground,Negative,1,TRUE
A112,Env_0112,,2020-01-01,West,4,12-14,,West|4|12-14,West|4|12-14,West|4|12-14,Environmental swab,Surface of the door,Negative,1,TRUE
A113,Env_0113,,2020-01-01,West,4,12-14,,West|4|12-14,West|4|12-14,West|4|12-14,Environmental swab,Ground,Negative,1,TRUE
A114,Env_0114,,2020-01-01,West,4,10,,West|4|10,West|4|10,West|4|10,Environmental swab,Surface of the door,Negative,1,TRUE
A115,Env_0115,,2020-01-01,West,4,10,,West|4|10,West|4|10,West|4|10,Environmental swab,Ground,Negative,1,TRUE
A116,Env_0116,,2020-01-01,West,4,9,,West|4|9,West|4|9,West|4|9,Environmental swab,Surface of the door,Negative,1,TRUE
A117,Env_0117,,2020-01-01,West,4,9,,West|4|9,West|4|9,West|4|9,Environmental swab,Ground,Negative,1,TRUE
A118,Env_0118,,2020-01-01,West,4,7,,West|4|7,West|4|7,West|4|7,Environmental swab,Surface of the door,Negative,1,TRUE
A119,Env_0119,,2020-01-01,West,4,7,,West|4|7,West|4|7,West|4|7,Environmental swab,Ground,Negative,1,TRUE
A12,Env_0012,,2020-01-01,West,4,26,,West|4|26,West|4|26,West|4|26,Environmental swab,Surface of mushroom,Negative,1,TRUE
A120,Env_0120,,2020-01-01,West,4,8,,West|4|8,West|4|8,West|4|8,Environmental swab,Surface of the door,Negative,1,TRUE
A121,Env_0121,,2020-01-01,West,4,8,,West|4|8,West|4|8,West|4|8,Environmental swab,Ground,Negative,1,TRUE
A13,Env_0013,,2020-01-01,West,4,26,,West|4|26,West|4|26,West|4|26,Environmental swab,Surface of food,Negative,1,TRUE
A14,Env_0014,SRR23971503,2020-01-01,West,4,26,,West|4|26,West|4|26,West|4|26,Environmental swab,Surface of packing bag for hairtail,Positive,1,TRUE
A15,Env_0015,SRR23971504,2020-01-01,West,4,26,,West|4|26,West|4|26,West|4|26,Environmental swab,Surface of the door,Positive,1,TRUE
A16,Env_0016,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Surface of food,Negative,1,TRUE
A17,Env_0017,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Package of aquatic product,Negative,1,TRUE
A18,Env_0018,SRR23971505,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Shoe covers and soles,Positive,1,TRUE
A19,Env_0019,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Basket,Negative,1,TRUE
A2,Env_0002,SRR23971506,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Ground,Positive,1,TRUE
A20,Env_0020,SRR23971507,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Gloves,Positive,1,TRUE
A21,Env_0021,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Wall,Negative,1,TRUE
A22,Env_0022,,2020-01-01,West,7,15-17,,West|7|15-17,West|7|15-17,West|7|15-17,Environmental swab,Cart,Negative,1,TRUE
A23,Env_0023,,2020-01-01,West,7,5-7,,West|7|5-7,West|7|5-7,West|7|5-7,Environmental swab,Surface of packing bag,Negative,1,TRUE
A24,Env_0024,,2020-01-01,West,7,5-7,,West|7|5-7,West|7|5-7,West|7|5-7,Environmental swab,Wall,Negative,1,TRUE
A25,Env_0025,,2020-01-01,West,7,5-7,,West|7|5-7,West|7|5-7,West|7|5-7,Environmental swab,Scale,Negative,1,TRUE
A26,Env_0026,,2020-01-01,West,7,5-7,,West|7|5-7,West|7|5-7,West|7|5-7,Environmental swab,Surface of the door,Negative,1,TRUE
A27,Env_0027,,2020-01-01,West,7,5-7,,West|7|5-7,West|7|5-7,West|7|5-7,Environmental swab,Basket (beer),Negative,1,TRUE
A28,Env_0028,,2020-01-01,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Fishbow,Negative,1,TRUE
A29,Env_0029,,2020-01-01,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Glove,Negative,1,TRUE
A3,Env_0003,,2020-01-01,West,7,11-13,,West|7|11-13,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,1,TRUE
A30,Env_0030,,2020-01-01,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Knief,Negative,1,TRUE
A31,Env_0031,,2020-01-01,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Basket,Negative,1,TRUE
A32,Env_0032,,2020-01-01,West,7,23,,West|7|23,West|7|23,West|7|23,Environmental swab,Surface of the door,Negative,1,TRUE
A33,Env_0033,SRR23971508,2020-01-01,West,7,,,West|7|NA,West|7|GC,West|7|NA,Environmental swab,Garbage cart,Positive,1,TRUE
A34,Env_0034,,2020-01-01,West,7,,,West|7|NA,West|7|GC,West|7|NA,Environmental swab,Garbage vehicle,Negative,1,TRUE
A35,Env_0035,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Surface of the door,Negative,1,TRUE
A36,Env_0036,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Ground,Negative,1,TRUE
A37,Env_0037,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Surface of the door,Negative,1,TRUE
A38,Env_0038,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Ground,Negative,1,TRUE
A39,Env_0039,,2020-01-01,West,7,36,,West|7|36,West|7|36,West|7|36,Environmental swab,Surface of the door,Negative,1,TRUE
A4,Env_0004,,2020-01-01,West,7,11-13,,West|7|11-13,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,1,TRUE
A40,Env_0040,,2020-01-01,West,7,36,,West|7|36,West|7|36,West|7|36,Environmental swab,Ground,Negative,1,TRUE
A41,Env_0041,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Surface of the door,Negative,1,TRUE
A42,Env_0042,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Ground,Negative,1,TRUE
A43,Env_0043,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Surface of the door,Negative,1,TRUE
A44,Env_0044,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Ground,Negative,1,TRUE
A45,Env_0045,,2020-01-01,West,7,30-32,,West|7|30-32,West|7|30-32,West|7|30-32,Environmental swab,Surface of the door,Negative,1,TRUE
A46,Env_0046,,2020-01-01,West,7,30-32,,West|7|30-32,West|7|30-32,West|7|30-32,Environmental swab,Ground,Negative,1,TRUE
A47,Env_0047,,2020-01-01,West,7,30-32,,West|7|30-32,West|7|30-32,West|7|30-32,Environmental swab,Towel on floor,Negative,1,TRUE
A48,Env_0048,,2020-01-01,West,7,29,,West|7|29,West|7|29,West|7|29,Environmental swab,Surface of the door,Negative,1,TRUE
A49,Env_0049,,2020-01-01,West,7,29,,West|7|29,West|7|29,West|7|29,Environmental swab,Ground,Negative,1,TRUE
A5,Env_0005,,2020-01-01,West,7,19-21,,West|7|19-21,West|7|19-21,West|7|19-21,Environmental swab,Wall,Negative,1,TRUE
A50,Env_0050,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Surface of the door,Negative,1,TRUE
A51,Env_0051,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Ground,Negative,1,TRUE
A52,Env_0052,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Surface of the door,Negative,1,TRUE
A53,Env_0053,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Ground,Negative,1,TRUE
A54,Env_0054,,2020-01-01,West,7,25,,West|7|25,West|7|25,West|7|25,Environmental swab,Surface of the door,Negative,1,TRUE
A55,Env_0055,SRR23971509,2020-01-01,West,7,25,,West|7|25,West|7|25,West|7|25,Environmental swab,Ground,Positive,1,TRUE
A56,Env_0056,,2020-01-01,West,7,24,,West|7|24,West|7|24,West|7|20-22-24,Environmental swab,Chopping block,Negative,1,TRUE
A57,Env_0057,,2020-01-01,West,7,24,,West|7|24,West|7|24,West|7|20-22-24,Environmental swab,Bone cutting machine,Negative,1,TRUE
A58,Env_0058,,2020-01-01,West,7,24,,West|7|24,West|7|24,West|7|20-22-24,Environmental swab,Surface of the door,Negative,1,TRUE
A59,Env_0059,,2020-01-01,West,7,24,,West|7|24,West|7|24,West|7|20-22-24,Environmental swab,Ground,Negative,1,TRUE
A6,Env_0006,,2020-01-01,West,7,19-21,,West|7|19-21,West|7|19-21,West|7|19-21,Environmental swab,Surface of packing bag,Negative,1,TRUE
A60,Env_0060,,2020-01-01,West,7,20-22-24,,West|7|20-22-24,West|7|20-22-24,West|7|20-22-24,Environmental swab,Surface of the door,Negative,1,TRUE
A61,Env_0061,SRR23971510,2020-01-01,West,7,20-22-24,,West|7|20-22-24,West|7|20-22-24,West|7|20-22-24,Environmental swab,Ground,Positive,1,TRUE
A62,Env_0062,,2020-01-01,West,7,16-18,,West|7|16-18,West|7|16-18,West|7|16-18,Environmental swab,Surface of the door,Negative,1,TRUE
A63,Env_0063,SRR23971512,2020-01-01,West,7,16-18,,West|7|16-18,West|7|16-18,West|7|16-18,Environmental swab,Ground,Positive,1,TRUE
A64,Env_0064,,2020-01-01,West,7,11-13,,West|7|11-13,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,1,TRUE
A65,Env_0065,,2020-01-01,West,7,11-13,,West|7|11-13,West|7|11-13,West|7|11-13,Environmental swab,Ground,Negative,1,TRUE
A66,Env_0066,,2020-01-01,West,7,12-14,,West|7|12-14,West|7|12-14,West|7|12-14,Environmental swab,Surface of the door,Negative,1,TRUE
A67,Env_0067,,2020-01-01,West,7,12-14,,West|7|12-14,West|7|12-14,West|7|12-14,Environmental swab,Ground,Negative,1,TRUE
A68,Env_0068,,2020-01-01,West,7,10,,West|7|10,West|7|10,West|7|10,Environmental swab,Surface of the door,Negative,1,TRUE
A69,Env_0069,,2020-01-01,West,7,10,,West|7|10,West|7|10,West|7|10,Environmental swab,Ground,Negative,1,TRUE
A7,Env_0007,,2020-01-01,West,7,19-21,,West|7|19-21,West|7|19-21,West|7|19-21,Environmental swab,Surface of the door,Negative,1,TRUE
A70,Env_0070,,2020-01-01,West,7,9,,West|7|9,West|7|9,West|7|9,Environmental swab,Surface of the door,Negative,1,TRUE
A71,Env_0071,,2020-01-01,West,7,9,,West|7|9,West|7|9,West|7|9,Environmental swab,Ground,Negative,1,TRUE
A72,Env_0072,,2020-01-01,West,6,8,,West|6|8,West|6|8,West|6|8,Environmental swab,Surface of the door,Negative,1,TRUE
A73,Env_0073,,2020-01-01,West,6,8,,West|6|8,West|6|8,West|6|8,Environmental swab,Ground,Negative,1,TRUE
A74,Env_0074,,2020-01-01,West,7,1-3,,West|7|1-3,West|7|1-3,West|7|1-3,Environmental swab,Surface of the door,Negative,1,TRUE
A75,Env_0075,,2020-01-01,West,7,1-3,,West|7|1-3,West|7|1-3,West|7|1-3,Environmental swab,Ground,Negative,1,TRUE
