Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM
WS-SXN3,Env_0735,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SLD1,Env_0736,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SLD2,Env_0737,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SLD3,Env_0738,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SZ1,Env_0739,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SZ2,Env_0740,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SZ3,Env_0741,,2020-02-05,Sewage well close to HSM,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XZ1,Env_0721,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XZ2,Env_0722,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-XZ3,Env_0723,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SF1,Env_0724,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
WS-SF2,Env_0725,,2020-02-05,Sewerage well in the surrounding areas,NA,NA,,NA,NA,NA,Sewage,Sewage well,Negative,0,FALSE
